Brand Name,Item Name,Calories needed to have 50g of added sugar
Canada Dry,"Cherry Ginger Ale, Fruit Splash",194
Canada Dry,"Ginger Ale, Blackberry",195
Canada Dry,"Ginger Ale, Caffeine Free, Blackberry",194
Canada Dry,Blackberry Ginger Ale,194
Canada Dry,Bitter Lemon,188
Canada Dry,Black Cherry Ginger Ale,196
Canada Dry,Blackberry Ginger Ale Soda,195
Canada Dry,"Soda, Caffeine Free, Ginger Ale",194
Canada Dry,"Ginger Ale, Sparkling, Green Tea",200
Capri Sun,Pacific Cooler Juice Drink Blend,281
Capri Sun,Fruit Punch Juice Drink Blend,300
Chameleon Cold-Brew,Apple Cider Vinegar Cold-Brew Tea,219
Cheerwine,Real Cane Sugar Soft Drink,179
Coca-Cola,Cherry Soda,192
Coca-Cola,Coca-Cola Soda,183
Coca-Cola,"Cola, Original Taste",179
Coca-Cola,"Cola, Vanilla",179
Coca-Cola,"Flavored Soda, Cherry",181
Coca-Cola,"Carbonated Beverage, Original Taste",179
Coca-Cola,"Soda, Original Taste, Fridge Pack",179
Coca-Cola,Orange Cream,179
Coca-Cola,Orange Cream Orange Vanilla Soda,185
Coca-Cola,Soda,179
Coca-Cola,Cherry Vanilla Cola,185
Coca-Cola,Razzleberry Peach Tea,200
Coca-Cola,Space Flavored Cola,188
Coca-Cola,Cinnamon Flavored Soda Cola,188
Coca-Cola,Orange Cream Vanilla Flavored Soda,185
Costa,Mocha Iced Coffee Latte,500
Country Club,"Soda, Merengue",202
Country Club,"Soda, Raspberry",202
Country Club,Grape Soda,202
Country Time,Half & Half Lemonade & Iced Tea,205
Country Time,"Drink Mix, Lemonade",208
Country Time,Strawberry Lemonade,210
Country Time,Pink Lemonade,208
Country Time,Strawberry Lemonade Flavored Drink Mix with Other Natural Flavor,210
Country Time,Lemonade Flavored Drink,211
Country Time,Pink Lemonade & Lemonade Cotton Candy,196
Country Time,Lemonade Drink,203
Country Time,Cherry Lemonade Drink Mix,217
Country Time,"Drink, Strawberry Lemonade",203
Crush,Blue Raspberry Soda,198
Crush,Grape Juice,190
Crush,Strawberry Soda,185
Crush,Peach Soda,194
Crush,"Soda, Orange",186
Crush,Orange Soda,192
Crush,"Soda, Peach",191
Crush,Grape Soda,192
Crush,"Soda, Pineapple",186
Crush,Grapefruit Juice,190
Crush,"Soda, Lemon",283
Crush,"Soda, Strawberry",185
Crush,"Soda, Grapefruit Toronja",190
Crush,"Soda, Grape",186
Dole,"Diced Peaches, in Strawberry Flavored Gel, Gel",250
Dole,Lemonade,196
Dole,Mixed Fruit Gel,263
Dole,"Lemonade, Strawberry",196
Dole,"Mandarin Oranges, in Orange Flavored Gel, Gel",263
Dole,"Fruit Bowls, Diced Peaches/Mandarin Oranges, Gel, Variety Pack",250
Dole,"Pineapple, Gel",250
Dole,Mandarin Oranges,333
Dole,Lemonade from Concentrate,195
Dole,"Diced Peaches, Gel",250
Dove,Vanilla & Chocolate Ice Cream with Milk Chocolate Bars,681
Dove,"Ice Cream, Party Peppermint",607
Dr. Brown's,"Black Cherry Soda, Natural Flavor",200
Dr. Brown's,Extra Dry Ginger Ale,210
Dr. Brown's,The Original Cream Soda,200
Dr. Brown's,Draft Style Root Beer,202
Dr. Brown's,"Cream Soda, Original",205
Dr. Pepper,Dr Pepper Soda,185
Dr. Pepper,Blackberry Soda,192
Dr. Pepper,Soda,192
Dr. Pepper,Strawberries & Cream Soda,192
Dr. Pepper,Blackberry Flavored Soda,192
Dr. Pepper,"Soda, 23 Flavors",203
Dr. Pepper,Creamy Coconut Carbonated Soft Drink,192
Dr. Pepper,Dr Pepper,192
Dr. Pepper,"Soda, Strawberries & Cream",191
Dr. Pepper,Cherry Soda,190
Dr. Pepper,"Soda, Cherry",190
Dr. Pepper,"Soda, Blackberry",192
Dr. Pepper,Creamy Coconut Soda,192
Dr. Pepper,Dark Berry,190
Fanta,Chucky's Punch,186
Fanta,Strawberry Flavored Soda,182
Fanta,"Soda, Orange",182
Fanta,Caffeine Free Grape Flavored Soda,192
Fanta,Grape Flavored Soda,193
Fanta,Pineapple Flavored Soda,188
Fanta,"Soda, Strawberry",189
Fanta,"Soda, Pineapple",188
Fanta,"Soda, Berry",188
