Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Insecticide,NYCHA,101563-47,MAXFORCE ROACH BAIT F.05,0,0.57,25,Fipronil,3,YES,NO,NO
Insecticide,NYCHA,100-1066,DEMAND CS INSECTICIDE,0.02,0,12,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,NYCHA,100-1498,DUPONT ADVION ANT GEL,0,0.36,11,Indoxacarb,3,NO,NO,NO
Insecticide,NYCHA,101563-49,PRODUCT: RBF5,0,0.17,11,Fipronil,3,YES,NO,NO
Insecticide,NYCHA,53883-415,CSI 16-105 Delta+Tekko Pro Aerosol,0,1.41,5,Deltamethrin; Novaluron; Pyriproxyfen,3,NO,NO,NO
Insecticide,NYCHA,2724-421,ZOECON RF-292 BRIQUET,0,0.26,4,S-Methoprene,3,NO,NO,NO
Insecticide,NYCHA,101563-86,TEMPO SC INSECTICIDE,0,0,3,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,NYCHA,2724-484,RF 9707 AEROSOL,0,0.75,2,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,NYCHA,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,0.4,2,Dinotefuran,3,NO,NO,NO
Insecticide,NYCHA,53883-276,DELTA 4.75% SC,0,0,2,Deltamethrin,3,NO,NO,NO
Insecticide,NYCHA,89459-59,ENVI ACU CONTACT Insecticide,0.03,0,1,Phenylethyl propionate,3,NO,NO,NO
Insecticide,NYCHA,6218-47,SUMMIT B.T.I. BRIQUETS,0,0.23,1,Bacillus thuringiensis subspecies Israelensis strain BMP 144,3,NO,NO,NO
Insecticide,NYCHA,101563-6,DELTA DUST,0,0.13,1,Deltamethrin,3,NO,NO,NO
Insecticide,NYCHA,100-1485,DUPONT ADVION ANT BAIT ARENA,0,0.05,1,Indoxacarb,3,NO,NO,NO
INSECTICIDE,NYCHA,499-561,TC-315,0,0.01,1,Dinotefuran,3,NO,NO,NO
Rodenticide,NYPD,7173-308,Chlorophacinone Soft Bait,0,156.75,438,Chlorophacinone,3,NO,NO,NO
RODENTICIDE,NYPD,7173-310,Bromethalin Soft Bait II,0,58.66,437,Bromethalin,3,NO,NO,NO
Rodenticide,NYPD,12455-146,CONTRAC SOFT BAIT,0,79.5,350,Bromadiolone,3,NO,NO,NO
Rodenticide,NYPD,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,46.16,285,Difethialone,3,NO,NO,NO
Rodenticide,NYPD,12455-69,CONTRAC RODENTICIDE,0,45.88,103,Bromadiolone,3,NO,NO,NO
Rodenticide,NYPD,12455-89,FINAL ALL-WEATHER BLOX,0,4.59,36,Brodifacoum,3,NO,NO,NO
Rodenticide,NYPD,12455-79,CONTRAC ALL-WEATHER BLOX,0,6.79,20,Bromadiolone,3,NO,NO,NO
RODENTICIDE,NYPD,87235-4,MONARK SB,0,3.44,16,Difenacoum,3,NO,NO,NO
Insecticide,NYPD,101563-4,SUSPEND SC INSECTICIDE,3.6,0,694,Deltamethrin,3,NO,NO,NO
Insecticide,"NYPD ",100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,6.02,375,Indoxacarb,3,NO,NO,NO
Insecticide,NYPD,64405-2,REDZONE BAIT,0,72.1,218,Boric acid,3,NO,NO,NO
Insecticide,"NYPD ",101563-165,TEMPRID SC-F INSECTICIDE,0.51,0,65,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,NYPD,100-1498,DUPONT ADVION ANT GEL,0,0.68,38,Indoxacarb,3,NO,NO,NO
Insecticide,NYPD,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.07,0,18,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,NYPD,1021-2796,MGK Formula 3113,0,0.02,6,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,"NYPD ",89459-59,ENVI ACU CONTACT Insecticide,0.14,0,4,Phenylethyl propionate,3,NO,NO,NO
INSECTICIDE,NYPD,53883-466-82540,"Strike Max Alacer Ant Gel Bait ",0,0.01,4,Indoxacarb,3,NO,NO,NO
Insecticide,NYPD,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,0.75,2,Avermectin,3,NO,YES,NO
Insecticide,NYPD,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0,0,2,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,"NYPD ",499-550,TC-323,0.14,0,1,Prallethrin,3,NO,NO,NO
Rodenticide,OCME,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,1.72,14,Difethialone,3,NO,NO,NO
Rodenticide,OCME,7173-308,Chlorophacinone Soft Bait,0,2,11,Chlorophacinone,3,NO,NO,NO
Rodenticide,OCME,12455-69,CONTRAC RODENTICIDE,0,0.44,3,Bromadiolone,3,NO,NO,NO
RODENTICIDE,OCME,7173-310,Bromethalin Soft Bait II,0,0.34,3,Bromethalin,3,NO,NO,NO
Rodenticide,OCME,12455-89,FINAL ALL-WEATHER BLOX,0,0.35,2,Brodifacoum,3,NO,NO,NO
Rodenticide,OCME,12455-146,CONTRAC SOFT BAIT,0,0.33,2,Bromadiolone,3,NO,NO,NO
Insecticide,OCME,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.2,0,50,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,OCME,101563-165,TEMPRID SC-F INSECTICIDE,0.39,0,47,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,OCME,101563-4,SUSPEND SC INSECTICIDE,0.05,0,46,Deltamethrin,3,NO,NO,NO
Insecticide,OCME,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,1.43,41,Indoxacarb,3,NO,NO,NO
Insecticide,OCME,100-1498,DUPONT ADVION ANT GEL,0,0.39,13,Indoxacarb,3,NO,NO,NO
Insecticide,OCME,89459-59,ENVI ACU CONTACT Insecticide,0.02,0,1,Phenylethyl propionate,3,NO,NO,NO
Rodenticide,Parks,12455-69,CONTRAC RODENTICIDE,0,1148.94,915,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,189.7,726,Difethialone,3,NO,NO,NO
Rodenticide,Parks,12455-79,CONTRAC ALL-WEATHER BLOX,0,938.38,652,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-36,CONTRAC RAT AND MOUSE BAIT,0.13,1163.13,627,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-146,CONTRAC SOFT BAIT,0,77.21,375,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-56,DITRAC TRACKING POWDER,0,6.42,208,Diphacinone,2,NO,NO,NO
Rodenticide,Parks,12455-148,Rat Ice,0,3945,198,Carbon dioxide,2,NO,NO,NO
RODENTICIDE,Parks,12455-137,Rampage Pelleted Bait,0,24.03,197,Bromethalin,3,NO,NO,NO
Rodenticide,Parks,12455-90,FINAL RODENTICIDE,0,184.75,156,Brodifacoum,3,NO,NO,NO
Rodenticide,Parks,7173-205,GENERATION PELLETS,0.06,335.06,155,Difethialone,3,NO,NO,NO
Rodenticide,Parks,7173-202,MAKI MINI BLOCKS,0,73.63,127,Bromadiolone,3,NO,NO,NO
RODENTICIDE,Parks,7173-310,Bromethalin Soft Bait II,0,11.36,116,Bromethalin,3,NO,NO,NO
Rodenticide,Parks,12455-95,FASTRAC ALL-WEATHER BLOX,0,49.94,111,Bromethalin,3,NO,NO,NO
Rodenticide,Parks,7173-297,BROMADIOLONE PASTE 0901,0,22.92,92,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-133,CONTRAC WITH LUMITRACK,0,34.75,86,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-106,TERAD3 BLOX,0,96.88,81,Cholecalciferol,3,NO,NO,NO
Rodenticide,Parks,100-1055,WEATHERBLOK BAIT WITH BITREX,0,41.06,76,Brodifacoum,3,NO,NO,NO
Rodenticide,Parks,7173-218,GENERATION MINI BLOCKS,0,48.59,66,Difethialone,3,NO,NO,NO
Rodenticide,Parks,12455-139,Final Soft Bait,0,21.63,63,Brodifacoum,3,NO,NO,NO
RODENTICIDE,Parks,7173-313,IGI CARBON DIOXIDE,3724.83,0,59,Carbon dioxide,2,NO,NO,NO
Rodenticide,Parks,12455-86,CONTRAC RODENTICIDE PLACE PAC,0,129.47,56,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,7173-308,Chlorophacinone Soft Bait,0,11.75,30,Chlorophacinone,3,NO,NO,NO
Rodenticide,Parks,12455-162,Cholecalciferol Blox,0,144.09,29,Cholecalciferol,3,NO,NO,NO
Rodenticide,Parks,12455-97,FASTRAC PLACE PACS,0,2.61,16,Bromethalin,3,NO,NO,NO
Rodenticide,Parks,7173-188,MAKI RAT AND MOUSE BAIT PACKS (PELLETS),0,29,11,Bromadiolone,3,NO,NO,NO
Rodenticide,Parks,12455-61,LIQUA-TOX II,0.17,0,10,"Diphacinone, sodium salt",3,NO,NO,NO
Rodenticide,Parks,12455-80,DITRAC ALL-WEATHER BLOX,0,6.32,5,Diphacinone,3,NO,NO,NO
Rodenticide,Parks,7173-238,GENERATION MEAL,0,5.5,4,Difethialone,3,NO,NO,NO
RODENTICIDE,Parks,91601-1,"ContraPest® ",0,1.52,3,4-Vinylcyclohexene diepoxide; Triptolide,3,NO,NO,YES
RODENTICIDE,Parks,87235-4,MONARK SB,0,0.99,3,Difenacoum,3,NO,NO,NO
Rodenticide,Parks,56-42,BAIT BLOCK RODENTIICDE WITH PEANUT BUTTER FLAVORIZ,0,0.63,3,Diphacinone,3,NO,NO,NO
Rodenticide,Parks,12455-17,ZP RODENT BAIT AG,0,7.5,1,Zinc phosphide,3,NO,NO,NO
RODENTICIDE,Parks,61282-97-56,JT EatonTM Answer® Kills Mice with Reusable Bait Station A,0,0.31,1,Bromethalin,3,NO,NO,NO
Rodenticide,Parks,12455-89,FINAL ALL-WEATHER BLOX,0,0.25,1,Brodifacoum,3,NO,NO,NO
Other,Parks,59807-4,HORMODIN 1,0,0.48,66,IBA,3,NO,NO,NO
Other,Parks,60061-142,PETTIT NEPTUNE 5 HARD HYBRID ABLATIVE ANTIFOULING PAINT,17,0,17,Copper oxide (ous),2,NO,NO,NO
Other,Parks,70299-16-84732,GREEN STOP LIQUID ALGAECIDE,0.97,0,2,"Hydrogen peroxide, Peroxyacetic acid",1,NO,NO,NO
Other,Parks,73049-15,PROGIBB 4% PLANT GROWTH REGULATOR SOLUTION,0,0,2,Gibberellins,2,NO,NO,NO
Other,Parks,63838-5,BROMMAX 7.1,70,0,1,Sodium bromide; Sodium hypochlorite,1,NO,NO,NO
Other,Parks,14802-8-74466,MICROBE LIFE ALGAWAY 5.4 ALGAECIDE FOR PONDS,4.25,0,1,Poly(oxyethylene) (dimethylimino) ethylene (dimethylimino) ethylene dichloride,3,NO,NO,NO
Other,Parks,70299-19,SANIDATE 5.0,0.94,0,1,"Hydrogen peroxide, Peroxyacetic acid",1,NO,NO,NO
INSECTICIDE,Parks,74578-12,TREE-AGE R10,71.87,0,7886,"Emamectin, benzoate",2,NO,NO,NO
Insecticide,Parks,101563-4,SUSPEND SC INSECTICIDE,3.46,1.13,478,Deltamethrin,3,NO,NO,NO
Insecticide,Parks,100-1484,DUPONT ADVION COCKROACH GEL BAIT,9.02,6.79,354,Indoxacarb,3,NO,NO,NO
Insecticide,Parks,100-1498,DUPONT ADVION ANT GEL,0,4.68,240,Indoxacarb,3,NO,NO,NO
INSECTICIDE,Parks,74779-17,RTSA 4% EMAMECTIN BENZOATE,4.56,0,111,"Emamectin, benzoate",3,NO,NO,NO
Insecticide,Parks,64405-2,REDZONE BAIT,0,27.7,102,Boric acid,3,NO,NO,NO
Insecticide,Parks,101563-165,TEMPRID SC-F INSECTICIDE,0.66,0,85,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,Parks,499-550,TC-323,6.31,68.69,75,Prallethrin,3,NO,NO,NO
Insecticide,Parks,101563-6,DELTA DUST,0,2.05,52,Deltamethrin,3,NO,NO,NO
Insecticide,Parks,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0,6.19,47,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,Parks,9688-190-8845,SPECTRACIDE DESTROYER BRAND WASP & HORNET KILLER,5.47,26.56,38,"Cyhalothrin, lambda; Prallethrin",3,NO,NO,NO
Insecticide,Parks,73049-429,VECTOMAX FG,0,4.82,32,"Bacillus sphaericus; Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,Parks,53883-244-66222,QUALI-PRO LAMBDA GC-0,12.07,0,28,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,Parks,53883-514,QUALI-PRO IMIDACLOPRID 2F TURF & ORNAMENTAL INSECTICIDE,36.98,0,26,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,101563-86,TEMPO SC INSECTICIDE,15.48,0,23,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,Parks,4-80,BONIDE HORTICULTURAL AND DORMANT SPRAY OIL,0.77,0,19,Mineral oil,3,NO,NO,NO
Insecticide,Parks,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0,4.36,19,(7S)-Hydroprene,3,NO,NO,NO
INSECTICIDE,Parks,71532-28-91026,FENVASTAR ECOCAP,0,2.5,19,Esfenvalerate,3,NO,NO,NO
Insecticide,Parks,70051-2-59807,TRIACT 70,2.24,0,18,Neem oil,3,NO,NO,NO
Insecticide,Parks,100-1551,Ference,13.2,0,17,"Cyantraniliprole ",0,NO,NO,NO
INSECTICIDE,Parks,87290-24,WILLOWOOD LAMBDA-CY 1 EC,12.43,0,16,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,Parks,86203-11-59639,SAFARI 20SG INSECTICIDE,0.44,60,14,Dinotefuran,3,NO,NO,NO
Insecticide,Parks,6218-47,SUMMIT B.T.I. BRIQUETS,0.01,8.95,14,Bacillus thuringiensis subspecies Israelensis strain BMP 144,3,NO,NO,NO
Insecticide,Parks,73049-56,VECTOBAC WDG BIOLOGICAL LARVICIDE,0,17.6,14,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,Parks,1021-2574,MGK FORMULA 2964,0,2,13,Esfenvalerate; Prallethrin; Piperonyl butoxide,3,YES,NO,NO
Insecticide,Parks,53883-366,QUALI-PRO BIFENTHRIN GOLF & NURSERY 7 9F,4.83,0,10,Bifenthrin,3,YES,NO,NO
Insecticide,Parks,101563-122,MAXFORCE FC ROACH KILLER BAIT GEL F.05,0,0.63,10,Fipronil,3,YES,NO,NO
Insecticide,Parks,100-1485,DUPONT ADVION ANT BAIT ARENA,0,0.2,10,Indoxacarb,3,NO,NO,NO
INSECTICIDE,Parks,499-561,TC-315,0,0.01,9,Dinotefuran,3,NO,NO,NO
Insecticide,Parks,53883-365,QUALI-PRO BIFENTHRIN I/T 7.9F,1.7,0,6,Bifenthrin,3,YES,NO,NO
Insecticide,Parks,62719-523,BLACKHAWK,0,21.44,6,Spinosad,3,NO,NO,NO
INSECTICIDE,Parks,432-1312-73220,QUALI-PRO IMIDACLOPRID 2F,12.25,0,5,Imidacloprid,NULL,NO,NO,NO
Insecticide,Parks,74578-10,TREE-AGE G4,2.41,0,5,"Emamectin, benzoate",3,NO,NO,NO
Insecticide,Parks,89442-24,BIFEN G/N 7.9SC SELECT,0.8,0,5,Bifenthrin,3,YES,NO,NO
INSECTICIDE,Parks,4-419,BONIDE ALL SEASONS HORTICULTURAL SPRAY OIL RTU,0.26,0,5,Mineral oil,3,NO,NO,NO
Insecticide,Parks,432-763-62719,SUSPEND SC,0.09,0,5,Deltamethrin,NULL,NO,NO,NO
INSECTICIDE,Parks,100-1636,Provaunt WDG,0,48.84,5,Indoxacarb,3,NO,NO,NO
Insecticide,Parks,73049-39,DIPEL DF DRY FLOWABLE BIOLOGICAL INSECTICIDE,0,0.12,5,"Bacillus thuringiensis, subsp. Kurstaki, strain ABTS-351, fermentation solids and solubles",3,NO,NO,NO
Insecticide,Parks,279-3457,TRIPLE CROWN GOLF INSECTICIDE,3.05,0,4,"Bifenthrin; Cypermethrin, zeta; Imidacloprid",2,YES,NO,NO
Insecticide,Parks,100-1489,DUPONT ACELEPRYN INSECTICIDE,2.51,0,4,Chlorantraniliprole,0,NO,NO,NO
INSECTICIDE,Parks,86869-5,LAMBDA SELECT,0.93,0,4,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,Parks,82074-1,MYCOTROL ES,0.05,0,4,Beauveria bassiana GHA,3,NO,NO,NO
Insecticide,Parks,101563-14,DELTAGARD G INSECTICIDE GRANULE,0,8.63,4,Deltamethrin,3,NO,NO,NO
Insecticide,Parks,101563-59,TEMPO 10 WP INSECTICIDE,0,0.09,4,"Cyfluthrin, beta",3,NO,NO,NO
INSECTICIDE,Parks,73049-498,PROGIBB LV PLUS PLANT GROWTH REGULATOR SOLUTION,0,0,4,Gibberellins,3,NO,NO,NO
Insecticide,Parks,69526-5,PURESPRAY SPRAY OIL 10E,16.41,0,3,Mineral oil,3,NO,NO,NO
Insecticide,Parks,101563-60,MERIT 2F INSECTICIDE,12.35,0,3,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,100-1088,SCIMITAR GC INSECTICIDE,5.65,0,3,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,Parks,432-1312-67760,GARANT T&O 2F,4.13,0,3,Imidacloprid,NULL,NO,NO,NO
Insecticide,Parks,241-392,PHANTOM TERMITICIDE-INSECTICIDE,1.5,0,3,Chlorfenapyr,3,YES,NO,NO
INSECTICIDE,Parks,9688-190,CHEMSICO WASP & HORNET KILLER LE,0.72,0,3,"Cyhalothrin, lambda; Prallethrin",3,NO,NO,NO
Insecticide,Parks,71711-4-67690,SEPRO AKARI 5SC MITICIDE/INSECTICIDE,0.55,0,3,Fenpryroximate,2,NO,NO,NO
Insecticide,Parks,89459-59,ENVI ACU CONTACT Insecticide,0.14,0,3,Phenylethyl propionate,3,NO,NO,NO
Insecticide,Parks,62719-291,CONSERVE SC TURF AND ORNAMENTAL,0.11,0,3,Spinosad,3,NO,NO,NO
Insecticide,Parks,48813-1-68539,SUFFOIL-X,0.09,1,3,Petroleum distillates,3,NO,NO,NO
Insecticide,Parks,100-1543,MAINSPRING GH & N,0.02,0,3,"Cyantraniliprole ",0,NO,NO,NO
Insecticide,Parks,73079-6,GREEN ZONE GRANULAR BAIT,0,1.5,3,Boric acid,3,NO,NO,NO
Insecticide,Parks,85306-1,SELECT TCS,0,0.9,3,Fipronil,3,YES,NO,NO
Insecticide,Parks,101563-140,MAXFORCE QUANTUM ANT BAIT,0,0.78,3,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,100-1066,DEMAND CS INSECTICIDE,0,0.38,3,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,Parks,432-1227-10404,LESCO SEVIN SL,11.19,0,2,Carbaryl,3,YES,YES,NO
Insecticide,Parks,5481-643,DYLOX 420 SL TURF AND ORNAMENTAL INSECTICIDE,3.4,0,2,Trichlorfon,3,YES,NO,NO
Insecticide,Parks,10163-324,M-PEDE INSECTICIDE/FUNGICIDE,2,0.47,2,Potassium laurate,2,NO,NO,NO
Insecticide,Parks,100-1487,PROVAUNT,1.13,0,2,Indoxacarb,3,NO,NO,NO
Insecticide,Parks,59639-96,DISTANCE INSECT GROWTH REGULATOR,0.12,0,2,Pyriproxyfen,3,NO,NO,NO
Insecticide,Parks,70506-121,UPI-2005 EXP-06 RUP INSECTICIDE,0.06,0,2,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,Parks,53883-276,DELTA 4.75% SC,0.05,0,2,Deltamethrin,3,NO,NO,NO
Insecticide,Parks,149-8,TERRO ANT KILLER II,0.02,0,2,Borax,3,NO,NO,NO
Insecticide,Parks,70506-537,FLORAMITE SC,0.01,0,2,Bifenazate,3,NO,NO,NO
Insecticide,Parks,5481-641,DYLOX 6.2 GRANULAR INSECTICIDE,0,1380,2,Trichlorfon,3,YES,NO,NO
INSECTICIDE,Parks,5481-641-432,Dylox 6.2 Granular Insecticide,0,960,2,Trichlorfon,3,YES,NO,NO
Insecticide,Parks,100-1500,ACELEPRYN G,0,262.5,2,Chlorantraniliprole,0,NO,NO,NO
Insecticide,Parks,82074-2,BOTANIGARD 22WP,0,2.4,2,Beauveria bassiana GHA,3,NO,NO,NO
INSECTICIDE,Parks,6218-86,MOSQUITO BITS,0,1.51,2,"Bacillus thuringiensis subsp. israelensis, Strain SUM-6218",3,NO,NO,NO
Insecticide,Parks,101563-93,TEMPO 1% PROFESSIONAL INSECTICIDE,0,0.88,2,Cyfluthrin,3,NO,NO,NO
INSECTICIDE,Parks,71910-10,Zecken Rollen Tick Tubes,0,0.49,2,Permethrin,3,YES,NO,NO
INSECTICIDE,Parks,101563-143,SUSPEND POLYZONE,0,0.05,2,Deltamethrin,3,NO,NO,NO
INSECTICIDE,Parks,81880-29-10163,Sanmite SC Miticide Insecticide,0,0,2,Pyridaben,3,NO,NO,NO
INSECTICIDE,Parks,5481-643-432,Dylox 420 SL,32,0,1,Trichlorfon,3,YES,NO,NO
Insecticide,Parks,70506-150,IMIGOLD 2F TURF & ORNAMENTAL INSECTICIDE,3.19,0,1,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,228-588,MALLET 75 WP,0.47,0,1,Imidacloprid,3,NO,NO,NO
INSECTICIDE,Parks,100-1078,SCIMITAR CS INSECTICIDE,0.25,0,1,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,Parks,42750-115-74779,XYTECT 2F INSECTICIDE,0.17,0,1,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,70051-9-59807,AZATIN O BIOLOGICAL INSECTICIDE,0.13,0,1,Azadirachtin,3,NO,NO,NO
INSECTICIDE,Parks,2724-793,RF2067-EW,0.06,0,1,(S)-Kinoprene,3,NO,NO,NO
INSECTICIDE,Parks,239-2699,ORTHO HOME DEFENSE INDOOR AND OUTDOOR INSECT KILLER 2,0.01,0,1,Bifenthrin,3,YES,NO,NO
INSECTICIDE,Parks,961-427,TURF FERTILIZER WITH ACELEPRYN PLUS DIMENSION 167,0,5750,1,"Dithiopyr, DPX-E2Y45",3,NO,NO,NO
Insecticide,Parks,53883-513,QUALI-PRO IMIDACLOPRID 75 WSB,0,1,1,Imidacloprid,3,NO,NO,NO
Insecticide,Parks,73079-12,SILICIDE(TM),0,0.25,1,Diatomaceous earth,3,NO,NO,NO
INSECTICIDE,Parks,59639-170-74779,TRANSTECT 70WSP INSECTICIDE,0,0.11,1,Dinotefuran,3,NO,NO,NO
INSECTICIDE,Parks,53883-466-82540,"Strike Max Alacer Ant Gel Bait ",0,0.01,1,Indoxacarb,3,NO,NO,NO
Insecticide,Parks,101563-130,SPIROTETRAMAT 240 SC GREENHOUSE AND NURSERY INSECTICIDE/MITICIDE,0,0,1,Spirotetramat,3,NO,NO,NO
INSECTICIDE,Parks,49538-5,PHYTON-016-B,0,0,1,Copper sulfate (pentahydrate),2,NO,NO,NO
Herbicide,Parks,62719-527,GARLON 4 ULTRA,61.58,99.38,332,Triclopyr,2,NO,NO,NO
Herbicide,Parks,62719-176,PATHFINDER II,5.94,225.63,69,"Triclopyr, butoxyethyl ester",3,NO,NO,NO
HERBICIDE,Parks,62719-519,MILESTONE,1.95,0,62,"Aminopyralid, triisopropanolamine salt",3,NO,NO,NO
Herbicide,Parks,100-937,PRIMO MAXX,39.6,0,59,Trinexapac-ethyl,3,NO,NO,NO
HERBICIDE,Parks,228-743,NUP-18013,20.45,0,55,Glufosinate-ammonium,3,NO,NO,NO
Herbicide,Parks,62719-542,DIMENSION 2EW,64.57,0,50,Dithiopyr,2,NO,NO,NO
Herbicide,Parks,86064-3,ARMOR TECH PGR 113 MC,20.39,0,47,Trinexapac-ethyl,3,NO,NO,NO
Herbicide,Parks,89442-7,TRIN-PAC SELECT,19.64,0,46,Trinexapac-ethyl,3,NO,NO,NO
Herbicide,Parks,241-437-67690,CLEARCAST HERBICIDE,9.46,0,41,Imazamox,3,NO,NO,NO
Herbicide,Parks,62719-324,GLYPRO,6.08,0,33,"Glyphosate, isopropylamine salt",3,NO,NO,YES
Herbicide,Parks,1001-91,GWN-6010 PLANT GROWTH REGULATOR,0.75,150.81,32,Prohexadione calcium,3,NO,NO,NO
Herbicide,Parks,10163-325,SCYTHE HERBICIDE,0,557.5,32,Nonanoic acid,2,NO,NO,NO
HERBICIDE,Parks,67690-46,LEGACY TURF GROWTH REGULATOR,6.55,0,23,Trinexapac-ethyl; Flurprimidol,2,NO,NO,NO
Herbicide,Parks,432-950,ACCLAIM EXTRA HERBICIDE,6.19,0,20,Fenoxaprop-P (+),3,NO,NO,NO
Herbicide,Parks,524-517,ACCORD XL HERBICIDE,1.66,0,19,"Glyphosate, isopropylamine salt",3,NO,NO,YES
Herbicide,Parks,62719-687,VASTLAN,18.26,0,17,"Triclopyr, Choline Salt",2,NO,NO,NO
Herbicide,Parks,100-1267,TENACITY,0.28,0,16,Mesotrione,3,NO,NO,NO
Herbicide,Parks,101563-40,PROXY GROWTH REGULATOR,86.72,0,14,Ethephon,1,NO,NO,NO
Herbicide,Parks,7969-327,PYLEX HERBICIDE,0.5,0,12,Topramezone,3,NO,NO,NO
Herbicide,Parks,524-579,ROUNDUP PROMAX,9.07,0,10,"Glyphosate, potassium salt",3,NO,NO,YES
HERBICIDE,Parks,67702-26,Fiesta Herbicide,210.08,0,9,Iron HEDTA,3,NO,NO,NO
Herbicide,Parks,81880-1-10163,SEDGEHAMMER,2.7,0.25,9,Halosulfuron-methyl,3,NO,NO,NO
Herbicide,Parks,92967-1,AVENGER WEED KILLER CONCENTRATE,7.92,0,8,"Limonene ",3,NO,NO,NO
Herbicide,Parks,62719-560,EF-1343,0.44,0,8,Florasulam,3,NO,NO,NO
Herbicide,Parks,279-3265,F8426 HERBICIDE,0.19,0,8,Carfentrazone-ethyl,3,NO,NO,NO
"HERBICIDE ",Parks,241-416-10404,LESCO PRE-M AQUACAP HERBICIDE,20.75,0,7,Pendimethalin,3,YES,NO,NO
Herbicide,Parks,228-615,CLASH SELECTIVE HERBICIDE,3.89,0,7,"Dicamba, diglycolamine salt",3,NO,NO,NO
Herbicide,Parks,70299-23,AXXE BROAD SPECTRUM HERBICIDE,0,68,7,"Nonanoic  acid,  ammonium  salt",2,NO,NO,NO
HERBICIDE,Parks,71368-112,"CHEETAH ",0.38,0,6,Glufosinate-ammonium,2,NO,NO,NO
Herbicide,Parks,100-1014,PACLOBUTRAZOL 2SC,14.3,0,5,Paclobutrazol,3,NO,NO,NO
HERBICIDE,Parks,228-741,NUP-16011 Herbicide,11.07,0,5,"2,4-D, 2-ethylhexyl ester; Fluroxypyr 1-methylheptyl ester; Flumioxazin; Triclopyr, butoxyethyl ester",3,NO,NO,NO
HERBICIDE,Parks,71368-114,Panther SC - Non-Crop Herbicide,1.63,0,5,Flumioxazin,0,NO,NO,NO
Herbicide,Parks,524-529,ROUNDUP PRO CONCENTRATE,1.51,0,5,"Glyphosate, isopropylamine salt",3,NO,NO,YES
Herbicide,Parks,228-379,DIABLO HERBICIDE,1.43,0,5,"Dicamba, dimethylamine salt",3,NO,NO,NO
Herbicide,Parks,228-317,COOL POWER SELECTIVE HERBICIDE,0.65,0,5,"Dicamba; MCPA, 2-ethyl hexyl ester; Triclopyr, butoxyethyl ester",3,NO,NO,NO
Herbicide,Parks,66222-151,ETHEPHON 2SL,21.88,0,4,Ethephon,1,NO,NO,NO
