Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Rodenticide,CUNY,82744-2-56,JT EATON NECTUS SOFT BAIT 2G SECOND GENERATION RODENTICIDE,0,0.04,1,Bromadiolone,3,NO,NO,NO
Insecticide,CUNY,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,11.6,220,Indoxacarb,3,NO,NO,NO
Insecticide,CUNY,101563-165,TEMPRID SC-F INSECTICIDE,0.52,0,162,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,CUNY,89459-59,ENVI ACU CONTACT Insecticide,7.89,3.28,113,Phenylethyl propionate,3,NO,NO,NO
Insecticide,CUNY,64405-2,REDZONE BAIT,0,1.05,85,Boric acid,3,NO,NO,NO
Insecticide,CUNY,100-1498,DUPONT ADVION ANT GEL,0,4.01,67,Indoxacarb,3,NO,NO,NO
Insecticide,CUNY,499-550,TC-323,0.81,21.13,35,Prallethrin,3,NO,NO,NO
Insecticide,CUNY,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.04,0,21,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,CUNY,53883-276,DELTA 4.75% SC,17,0,15,Deltamethrin,3,NO,NO,NO
Insecticide,CUNY,101563-4,SUSPEND SC INSECTICIDE,0.03,0,10,Deltamethrin,3,NO,NO,NO
INSECTICIDE,CUNY,2724-352,ZOECON RF-291 EMULSIFIABLE CONCENTRATE WITH PRECOR,0.06,0,4,S-Methoprene,3,NO,NO,NO
Insecticide,CUNY,279-9554,CB INSECTICIDE WITH DELTAMETHRIN,0,2.98,4,Deltamethrin,3,NO,NO,NO
INSECTICIDE,CUNY,53883-444,CSI 16-189 Concentrate,0.01,0,3,"(7S)-Hydroprene, Pyriproxyfen, Imidacloprid",3,NO,NO,NO
Insecticide,CUNY,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,0.38,3,Dinotefuran,3,NO,NO,NO
Insecticide,CUNY,101563-119,BES 0026 FLY SPOT BAIT,0,0.38,3,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
INSECTICIDE,CUNY,499-561,TC-315,0,0.23,3,Dinotefuran,3,NO,NO,NO
Insecticide,CUNY,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0,0.1,3,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,CUNY,101563-6,DELTA DUST,0,0.39,2,Deltamethrin,3,NO,NO,NO
Insecticide,CUNY,241-392,PHANTOM TERMITICIDE-INSECTICIDE,0,0.13,2,Chlorfenapyr,3,YES,NO,NO
Insecticide,CUNY,100-1066,DEMAND CS INSECTICIDE,0,0.06,2,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,CUNY,1021-2796,MGK Formula 3113,0,0.01,2,Clothianidin; Pyriproxyfen,0,NO,NO,NO
INSECTICIDE,CUNY,64405-37,Nibor-D Insecticide Foam + IGR,0,0.06,1,Disodium octaborate tetrahydrate; Pyriproxyfen,3,NO,NO,NO
Insecticide,CUNY,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,0.01,1,Indoxacarb,3,NO,NO,NO
Insecticide,CUNY,53883-335,N + P Regulator,0,0,1,Pyriproxyfen; Novaluron,3,NO,NO,NO
Rodenticide,"DCAS ",7173-258,DIFETHIALONE PASTE PLACE PACKS,0,96.43,301,Difethialone,3,NO,NO,NO
Rodenticide,DCAS,12455-146,CONTRAC SOFT BAIT,0,43.19,230,Bromadiolone,3,NO,NO,NO
RODENTICIDE,DCAS,7173-310,Bromethalin Soft Bait II,0,30.99,155,Bromethalin,3,NO,NO,NO
Rodenticide,DCAS,7173-308,Chlorophacinone Soft Bait,0,56.5,134,Chlorophacinone,3,NO,NO,NO
Rodenticide,DCAS,12455-69,CONTRAC RODENTICIDE,0,11.75,30,Bromadiolone,3,NO,NO,NO
