Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
Insecticide,2724-351-50809,ZOECON GENCOR 9% EMULSIFIABLE CONCENTRATE,3.16,0,631,(7S)-Hydroprene,3,NO,NO,NO
INSECTICIDE,53883-438,CSI 16-107G Indoxacarb Powder,0,9.67,507,Indoxacarb,3,NO,NO,NO
Insecticide,100-1066,DEMAND CS INSECTICIDE,0.77,1.43,505,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,322.88,472,Indoxacarb,3,NO,NO,NO
Insecticide,1021-2796,MGK Formula 3113,0,8.95,410,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,73049-20,VECTOLEX CG BIOLOGICAL LARVICIDE,0,966.81,382,Bacillus sphaericus,3,NO,NO,NO
Insecticide,279-9554,CB INSECTICIDE WITH DELTAMETHRIN,0,89.61,352,Deltamethrin,3,NO,NO,NO
Insecticide,73079-12,SILICIDE(TM),0,47.06,321,Diatomaceous earth,3,NO,NO,NO
Insecticide,499-550,TC-323,27.98,110.69,280,Prallethrin,3,NO,NO,NO
INSECTICIDE,64405-37,Nibor-D Insecticide Foam + IGR,0,187.38,280,Disodium octaborate tetrahydrate; Pyriproxyfen,3,NO,NO,NO
Insecticide,101563-119,BES 0026 FLY SPOT BAIT,46.59,155.71,240,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
Insecticide,89459-59,ENVI ACU CONTACT Insecticide,12.88,3.28,218,Phenylethyl propionate,3,NO,NO,NO
Insecticide,101563-59,TEMPO 10 WP INSECTICIDE,0,0.48,205,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,432-763-62719,SUSPEND SC,0.66,0.09,140,Deltamethrin,NULL,NO,NO,NO
Insecticide,73079-14,IMIDACLOPRID GRANULAR BAIT,0,13.41,135,Imidacloprid,3,NO,NO,NO
Insecticide,101563-122,MAXFORCE FC ROACH KILLER BAIT GEL F.05,0,4.14,132,Fipronil,3,YES,NO,NO
Insecticide,1021-1641-57076,CONQUER RESIDUAL INSECTICIDE CONCENTRATE,0.31,0,115,Esfenvalerate,3,NO,NO,NO
INSECTICIDE,74779-17,RTSA 4% EMAMECTIN BENZOATE,4.56,0,111,"Emamectin, benzoate",3,NO,NO,NO
INSECTICIDE,53883-424-82540,Strike Max Alacer Roach Gel Bait,0,0.07,111,Indoxacarb,3,NO,NO,NO
Insecticide,432-1531,BES0600 INSECTICIDE,0,6.56,109,Clothianidin,0,NO,NO,NO
Insecticide,101563-140,MAXFORCE QUANTUM ANT BAIT,0,2.54,108,Imidacloprid,3,NO,NO,NO
INSECTICIDE,9688-239-8845,HOT SHOT ULTRA LIQUID ROACH BAIT,1.35,0,86,Dinotefuran,3,NO,NO,NO
Insecticide,1021-1795-8329,DUET DUAL-ACTION ADULTICIDE,395.23,0,83,Phenothrin; Piperonyl butoxide; Prallethrin,3,YES,NO,NO
Insecticide,101563-86,TEMPO SC INSECTICIDE,15.66,0,83,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,89459-84,RF2228 LH AEROSOL,10.98,0,76,"Cyhalothrin, lambda; (7S)-Hydroprene",3,NO,NO,NO
Insecticide,499-304,WHITMIRE OPTEM ME PT 600,0.05,0,67,Cyfluthrin,3,NO,NO,NO
Insecticide,101563-6,DELTA DUST,0.01,2.92,62,Deltamethrin,3,NO,NO,NO
Insecticide,64405-8,NIBOR BORATE INSECTICIDE AND FUNGICIDE,0,57.09,56,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,499-473,WHITMIRE MICRO-GEN TC 205 INJECTION SYSTEM,10.56,0,53,"Cyhalothrin, lambda",3,NO,NO,NO
INSECTICIDE,2724-352,ZOECON RF-291 EMULSIFIABLE CONCENTRATE WITH PRECOR,0.21,0,53,S-Methoprene,3,NO,NO,NO
Insecticide,499-507,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT RESERVOIR,0,1.96,53,Dinotefuran,3,NO,NO,NO
Insecticide,89186-1,Aprehend,1.91,0,49,Beauveria bassiana GHA,3,NO,NO,NO
Insecticide,101563-49,PRODUCT: RBF5,0.23,1.09,49,Fipronil,3,YES,NO,NO
Insecticide,73079-4,BORACTIN INSECTICIDE POWDER,0,14.56,45,Boric acid,3,NO,NO,NO
Insecticide,9688-190-8845,SPECTRACIDE DESTROYER BRAND WASP & HORNET KILLER,6.88,26.56,44,"Cyhalothrin, lambda; Prallethrin",3,NO,NO,NO
Insecticide,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,11.03,32,Avermectin,3,NO,YES,NO
INSECTICIDE,499-561,TC-315,0,0.38,32,Dinotefuran,3,NO,NO,NO
Insecticide,101563-47,MAXFORCE ROACH BAIT F.05,0,0.66,31,Fipronil,3,YES,NO,NO
Insecticide,279-3206,TALSTAR TC FLOWABLE TERMITICIDE/INSECTICIDE,0.99,1.13,29,Bifenthrin,3,YES,NO,NO
Insecticide,2724-484,RF 9707 AEROSOL,0.8,6.69,29,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,6218-47,SUMMIT B.T.I. BRIQUETS,0.01,49.07,29,Bacillus thuringiensis subspecies Israelensis strain BMP 144,3,NO,NO,NO
Insecticide,499-410,AVERT PRESCRIPTION TREATMENT TC 93B BAIT,0,0.14,29,Avermectin,3,NO,YES,NO
Insecticide,53883-244-66222,QUALI-PRO LAMBDA GC-0,12.07,0,28,"Cyhalothrin, lambda",2,NO,NO,NO
INSECTICIDE,2724-786-89459,Zenprox Wasp-X2 Spray,7.57,0,27,Tetramethrin; Piperonyl butoxide; Ethofenprox,3,YES,NO,NO
Insecticide,53883-514,QUALI-PRO IMIDACLOPRID 2F TURF & ORNAMENTAL INSECTICIDE,36.98,0,26,Imidacloprid,3,NO,NO,NO
Insecticide,53883-92,CYPER TC INSECTICIDE,0.38,0.01,21,"Cypermethrin, beta",3,YES,NO,NO
Insecticide,73049-501,VBC-60394 FG BIOLOGICAL LARVICIDE FINE GRANULE,0,5990,20,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,53883-276,DELTA 4.75% SC,17.05,0,19,Deltamethrin,3,NO,NO,NO
Insecticide,4-80,BONIDE HORTICULTURAL AND DORMANT SPRAY OIL,0.77,0,19,Mineral oil,3,NO,NO,NO
INSECTICIDE,71532-28-91026,FENVASTAR ECOCAP,0,2.5,19,Esfenvalerate,3,NO,NO,NO
Insecticide,241-392,PHANTOM TERMITICIDE-INSECTICIDE,2.27,0.13,18,Chlorfenapyr,3,YES,NO,NO
Insecticide,70051-2-59807,TRIACT 70,2.24,0,18,Neem oil,3,NO,NO,NO
Insecticide,100-1551,Ference,13.2,0,17,"Cyantraniliprole ",0,NO,NO,NO
INSECTICIDE,87290-24,WILLOWOOD LAMBDA-CY 1 EC,12.43,0,16,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,1021-1815,EVERCIDE ESFENVALERATE 6.4% CS,0.01,0,16,Esfenvalerate,3,NO,NO,NO
Insecticide,101563-23,DRIONE INSECTICIDE,0,1.59,15,Pyrethrins; Piperonyl butoxide; Silica gel,3,YES,NO,NO
