CD,CD Name,Wage,Scenario,Variable,modelledValue,changeFromBaseline
101,Financial District,a20,scen3,prematuremort,103.3129,-0.092
102,Greenwich Village and Soho,a20,scen3,prematuremort,103.3129,-0.092
103,Lower East Side and Chinatown,a20,scen3,prematuremort,200.3904,-3.0376
104,Clinton and Chelsea,a20,scen3,prematuremort,84.95309,-1.77301
105,Midtown,a20,scen3,prematuremort,69.67461,-0.36196
106,Stuyvesant Town and Turtle Bay,a20,scen3,prematuremort,69.67461,-0.36196
107,Upper West Side,a20,scen3,prematuremort,143.2668,0.5631
108,Upper East Side,a20,scen3,prematuremort,98.36227,0.30371
109,Morningside Heights and Hamilton Heights,a20,scen3,prematuremort,244.2477,0
110,Central Harlem,a20,scen3,prematuremort,312.0432,-8.584
111,East Harlem,a20,scen3,prematuremort,343.1236,-8.2292
112,Washington Heights and Inwood,a20,scen3,prematuremort,208.3144,-0.594
201,Mott Haven and Melrose,a20,scen3,prematuremort,331.5903,-17.9145
202,Hunts Point and Longwood,a20,scen3,prematuremort,331.5903,-17.9145
203,Morrisania and Crotona,a20,scen3,prematuremort,387.0768,1E-04
204,Highbridge and Concourse,a20,scen3,prematuremort,339.6104,-1.2449
205,Fordham and University Heights,a20,scen3,prematuremort,405.8024,-5.2407
206,Belmont and East Tremont,a20,scen3,prematuremort,387.0768,1E-04
207,Kingsbridge Heights and Bedford,a20,scen3,prematuremort,288.9143,-8.9916
208,Riverdale and Fieldston,a20,scen3,prematuremort,220.635,-3.3363
209,Parkchester and Soundview,a20,scen3,prematuremort,339.9299,0.3909
210,Throgs Neck and Co-op City,a20,scen3,prematuremort,238.3234,-1.5413
211,Morris Park and Bronxdale,a20,scen3,prematuremort,242.2516,-2.5005
212,Williamsbridge and Baychester,a20,scen3,prematuremort,310.2651,-0.8146
301,Greenpoint and Williamsburg,a20,scen3,prematuremort,148.0712,0.1396
302,Fort Greene and Brooklyn Heights,a20,scen3,prematuremort,134.0689,0.3277
303,Bedford Stuyvesant,a20,scen3,prematuremort,275.4623,-1.9426
304,Bushwick,a20,scen3,prematuremort,174.6292,-2.9487
305,East New York and Starrett City,a20,scen3,prematuremort,344.9559,2.675
306,Park Slope and Carroll Gardens,a20,scen3,prematuremort,120.5779,-0.1653
307,Sunset Park,a20,scen3,prematuremort,156.6975,-1.3202
308,Crown Heights and Prospect Heights,a20,scen3,prematuremort,252.0778,3.5472
309,South Crown Heights and Lefferts Gardens,a20,scen3,prematuremort,254.2204,2.5561
310,Bay Ridge and Dyker Heights,a20,scen3,prematuremort,148.5094,0.356
311,Bensonhurst,a20,scen3,prematuremort,182.2516,-2.155
312,Borough Park,a20,scen3,prematuremort,249.6701,-0.4751
313,Coney Island,a20,scen3,prematuremort,203.888,-2.1185
314,Flatbush and Midwood,a20,scen3,prematuremort,168.1395,-3.4345
315,Sheepshead Bay,a20,scen3,prematuremort,150.3646,-0.6006
316,Brownsville,a20,scen3,prematuremort,419.915,-2.9027
317,East Flatbush,a20,scen3,prematuremort,291.095,-5.4445
318,Flatlands and Canarsie,a20,scen3,prematuremort,241.0056,-3.5978
401,Long Island City and Astoria,a20,scen3,prematuremort,132.2739,0.6756
402,Woodside and Sunnyside,a20,scen3,prematuremort,75.12191,1.37236
403,Jackson Heights,a20,scen3,prematuremort,167.3695,-3.7867
404,Elmhurst and Corona,a20,scen3,prematuremort,149.4344,1.3694
405,Ridgewood and Maspeth,a20,scen3,prematuremort,161.2228,2.6401
406,Rego Park and Forest Hills,a20,scen3,prematuremort,106.3148,0
407,Flushing and Whitestone,a20,scen3,prematuremort,158.475,-4.321
408,Hillcrest and Fresh Meadows,a20,scen3,prematuremort,174.9913,-6.3258
409,Kew Gardens and Woodhaven,a20,scen3,prematuremort,128.6711,-1.3425
410,South Ozone Park and Howard Beach,a20,scen3,prematuremort,181.751,-2.807
411,Bayside and Little Neck,a20,scen3,prematuremort,89.97701,-0.47901
412,Jamaica and Hollis,a20,scen3,prematuremort,230.7722,-3.0616
413,Queens Village,a20,scen3,prematuremort,208.3991,-3.0917
414,Rockaway and Broad Channel,a20,scen3,prematuremort,315.0143,-5.2357
501,St. George and Stapleton,a20,scen3,prematuremort,283.3138,-2.3149
502,South Beach and Willowbrook,a20,scen3,prematuremort,155.9827,-0.1649
503,Tottenville and Great Kills,a20,scen3,prematuremort,162.7136,-0.7468
101,Financial District,b30,scen1,poverty,14.65693,-0.61997
102,Greenwich Village and Soho,b30,scen1,poverty,14.65693,-0.61997
103,Lower East Side and Chinatown,b30,scen1,poverty,34.8156,-6.49069
104,Clinton and Chelsea,b30,scen1,poverty,17.11181,-0.9886
105,Midtown,b30,scen1,poverty,14.39544,-0.44829
106,Stuyvesant Town and Turtle Bay,b30,scen1,poverty,14.39544,-0.44829
107,Upper West Side,b30,scen1,poverty,17.65784,-0.64865
108,Upper East Side,b30,scen1,poverty,7.34001,-0.33009
109,Morningside Heights and Hamilton Heights,b30,scen1,poverty,42.3675,-5.38942
110,Central Harlem,b30,scen1,poverty,35.24788,-5.14299
111,East Harlem,b30,scen1,poverty,49.21198,-7.05295
112,Washington Heights and Inwood,b30,scen1,poverty,26.07756,-5.18998
201,Mott Haven and Melrose,b30,scen1,poverty,50.87846,-9.7471
202,Hunts Point and Longwood,b30,scen1,poverty,50.87846,-9.7471
203,Morrisania and Crotona,b30,scen1,poverty,57.76381,-4.93879
204,Highbridge and Concourse,b30,scen1,poverty,46.6121,-6.69901
205,Fordham and University Heights,b30,scen1,poverty,48.81646,-11.48422
206,Belmont and East Tremont,b30,scen1,poverty,57.76381,-4.93879
207,Kingsbridge Heights and Bedford,b30,scen1,poverty,41.78996,-11.22943
208,Riverdale and Fieldston,b30,scen1,poverty,25.15695,-6.07843
209,Parkchester and Soundview,b30,scen1,poverty,45.94397,-9.95462
210,Throgs Neck and Co-op City,b30,scen1,poverty,23.91488,-4.65615
211,Morris Park and Bronxdale,b30,scen1,poverty,30.35231,-4.51649
212,Williamsbridge and Baychester,b30,scen1,poverty,28.28334,-7.54222
301,Greenpoint and Williamsburg,b30,scen1,poverty,25.33763,-2.91822
302,Fort Greene and Brooklyn Heights,b30,scen1,poverty,17.92705,-1.88807
303,Bedford Stuyvesant,b30,scen1,poverty,32.48149,-3.88174
304,Bushwick,b30,scen1,poverty,22.79356,-5.77702
305,East New York and Starrett City,b30,scen1,poverty,31.55642,-9.56314
306,Park Slope and Carroll Gardens,b30,scen1,poverty,13.80512,-1.42193
307,Sunset Park,b30,scen1,poverty,25.23843,-6.18038
308,Crown Heights and Prospect Heights,b30,scen1,poverty,24.89244,-3.18572
309,South Crown Heights and Lefferts Gardens,b30,scen1,poverty,26.27148,-3.37734
310,Bay Ridge and Dyker Heights,b30,scen1,poverty,22.53843,-3.93458
311,Bensonhurst,b30,scen1,poverty,29.04476,-9.28799
