NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BX1004,Bronx,2,Co-op City,5.672555914,High,115.0387613,High,Medium,High,Medium,High
BX1071,Bronx,2,Hart Island,0,Low,0,Low,Low,Low,Low,Low
BX1091,Bronx,2,Ferry Point Park-St. Raymond Cemetery,3.712537158,High,71.99500301,High,Low,Low,Low,High
BX1101,Bronx,2,Pelham Parkway-Van Nest,1.314379937,Low,27.22755866,Low,Medium,Medium,High,Medium
BX1102,Bronx,2,Morris Park,1.091664115,Low,24.24145994,Low,Medium,Medium,Medium,Low
BX1103,Bronx,2,Pelham Gardens,0.920365787,Low,19.00835168,Low,Low,Low,Medium,Low
BX1104,Bronx,2,Allerton,1.072459779,Low,21.66911951,Low,Medium,Medium,Medium,Medium
BX1161,Bronx,2,Hutchinson Metro Center,1.274778218,Low,24.91726504,Low,Low,Low,High,High
BX1201,Bronx,2,Williamsbridge-Olinville,2.095250347,Medium,41.47031315,Medium,Medium,High,Medium,Medium
BX1202,Bronx,2,Eastchester-Edenwald-Baychester,5.314438857,High,105.8438204,High,Medium,Medium,High,Medium
BX1203,Bronx,2,Wakefield-Woodlawn,2.138180014,Medium,43.31945257,Medium,Medium,Medium,High,Medium
BX1271,Bronx,2,Woodlawn Cemetery,0.604650645,Low,13.12372223,Low,Low,Low,Low,Low
BX2691,Bronx,2,Van Cortlandt Park,6.848152192,High,134.2213827,High,Low,Low,Low,High
BX2791,Bronx,2,Bronx Park,3.614025942,High,70.44396338,High,Low,Low,Low,High
BX2891,Bronx,2,Pelham Bay Park,7.044826971,High,135.6600121,High,Low,Low,Low,Medium
MN0101,Manhattan,1,Financial District-Battery Park City,3.35960821,Medium,59.34531694,Medium,High,High,Low,High
MN0102,Manhattan,1,Tribeca-Civic Center,2.941844546,Medium,50.90278408,Medium,High,High,Medium,High
MN0191,Manhattan,1,The Battery-Governors Island-Ellis Island-Liberty Island,0.486869264,Low,8.906155533,Low,Low,Low,Low,Low
MN0201,Manhattan,1,SoHo-Little Italy-Hudson Square,3.524009999,Medium,59.70152676,Medium,High,High,Medium,High
MN0202,Manhattan,1,Greenwich Village,1.671560934,Low,29.84068203,Low,High,High,Low,Medium
MN0203,Manhattan,1,West Village,3.588862936,Medium,60.5357336,Medium,High,High,Medium,High
