GEOCODE,VARIABLE,VALUE,NAME,BORO
3808,Mice or rats,7,Stuy.Town/Turtle Bay,Manhattan
3809,Mice or rats,26,L.East Side/Chinatown,Manhattan
3810,Mice or rats,10,Green.Village/Fin.District,Manhattan
3901,Mice or rats,3,South Shore,Staten Island
3902,Mice or rats,2,Mid Island,Staten Island
3903,Mice or rats,14,North Shore,Staten Island
4001,Mice or rats,15,Williamsburg/Greenpoint,Brooklyn
4002,Mice or rats,31,Bushwick,Brooklyn
4003,Mice or rats,38,Bedford Stuyvesant,Brooklyn
4004,Mice or rats,13,Brooklyn Heights/Fort Greene,Brooklyn
4005,Mice or rats,17,Park Slope/Carroll Gardens,Brooklyn
4006,Mice or rats,29,N.Crown Heights/Pros.Heights,Brooklyn
4007,Mice or rats,41,Brownsville/Ocean Hill,Brooklyn
4008,Mice or rats,22,East New York/Starret City,Brooklyn
4009,Mice or rats,23,Flatlands/Canarsie,Brooklyn
4010,Mice or rats,34,East Flatbush,Brooklyn
4011,Mice or rats,36,South Crown Heights,Brooklyn
4012,Mice or rats,14,Sunset Park,Brooklyn
4013,Mice or rats,10,Bay Ridge,Brooklyn
4014,Mice or rats,16,Borough Park,Brooklyn
4015,Mice or rats,17,Flatbush,Brooklyn
4016,Mice or rats,7,Sheepshead Bay/Gravesend,Brooklyn
4017,Mice or rats,7,Bensonhurst,Brooklyn
4018,Mice or rats,10,Coney Island,Brooklyn
4101,Mice or rats,9,Astoria,Queens
4102,Mice or rats,25,Jackson Heights,Queens
4103,Mice or rats,9,Flushing/Whitestone,Queens
4104,Mice or rats,4,Bayside/Little Neck,Queens
4105,Mice or rats,14,Bellerose/Rosedale,Queens
4106,Mice or rats,12,Hillcrest/Fresh Meadows,Queens
4107,Mice or rats,30,Elmhurst/Corona,Queens
4108,Mice or rats,8,Forest Hills/Rego Park,Queens
4109,Mice or rats,19,Sunnyside/Woodside,Queens
4110,Mice or rats,11,Middle Village/Ridgewood,Queens
4111,Mice or rats,14,Kew Gardens/Woodhaven,Queens
4112,Mice or rats,24,Jamaica,Queens
4113,Mice or rats,10,Howard Beach/S.Ozone Park,Queens
4114,Mice or rats,17,Rockaways,Queens
3701,Cracks or holes,17,Riverdale/Kingsbridge,Bronx
3702,Cracks or holes,17,Williamsbridge/Baychester,Bronx
3703,Cracks or holes,6,Throgs Neck/Co-op City,Bronx
3704,Cracks or holes,18,Pelham Parkway,Bronx
3705,Cracks or holes,19,Morrisania/East Tremont,Bronx
3706,Cracks or holes,28,Kings.Heights/Mosholu,Bronx
3707,Cracks or holes,37,Univ.Heights/Fordham,Bronx
3708,Cracks or holes,20,Highbridge/S.Concourse,Bronx
3709,Cracks or holes,16,Soundview/Parkchester,Bronx
3710,Cracks or holes,23,Mott Haven/Hunts Point,Bronx
3801,Cracks or holes,16,Washington Heights/Inwood,Manhattan
3802,Cracks or holes,21,Morning.Heights/Hamilton Heights,Manhattan
3803,Cracks or holes,18,Central Harlem,Manhattan
3804,Cracks or holes,20,East Harlem,Manhattan
3805,Cracks or holes,6,Upper East Side,Manhattan
3806,Cracks or holes,13,Upper West Side,Manhattan
3807,Cracks or holes,5,Chealsea/Clinton/Midtown,Manhattan
3808,Cracks or holes,3,Stuy.Town/Turtle Bay,Manhattan
3809,Cracks or holes,22,L.East Side/Chinatown,Manhattan
3810,Cracks or holes,10,Green.Village/Fin.District,Manhattan
3901,Cracks or holes,2,South Shore,Staten Island
3902,Cracks or holes,2,Mid Island,Staten Island
3903,Cracks or holes,6,North Shore,Staten Island
4001,Cracks or holes,13,Williamsburg/Greenpoint,Brooklyn
4002,Cracks or holes,16,Bushwick,Brooklyn
4003,Cracks or holes,23,Bedford Stuyvesant,Brooklyn
4004,Cracks or holes,10,Brooklyn Heights/Fort Greene,Brooklyn
4005,Cracks or holes,13,Park Slope/Carroll Gardens,Brooklyn
4006,Cracks or holes,31,N.Crown Heights/Pros.Heights,Brooklyn
4007,Cracks or holes,28,Brownsville/Ocean Hill,Brooklyn
4008,Cracks or holes,21,East New York/Starret City,Brooklyn
4009,Cracks or holes,8,Flatlands/Canarsie,Brooklyn
4010,Cracks or holes,16,East Flatbush,Brooklyn
4011,Cracks or holes,21,South Crown Heights,Brooklyn
4012,Cracks or holes,11,Sunset Park,Brooklyn
4013,Cracks or holes,5,Bay Ridge,Brooklyn
4014,Cracks or holes,9,Borough Park,Brooklyn
4015,Cracks or holes,14,Flatbush,Brooklyn
4016,Cracks or holes,4,Sheepshead Bay/Gravesend,Brooklyn
4017,Cracks or holes,9,Bensonhurst,Brooklyn
4018,Cracks or holes,7,Coney Island,Brooklyn
4101,Cracks or holes,13,Astoria,Queens
4102,Cracks or holes,9,Jackson Heights,Queens
4103,Cracks or holes,6,Flushing/Whitestone,Queens
4104,Cracks or holes,4,Bayside/Little Neck,Queens
4105,Cracks or holes,9,Bellerose/Rosedale,Queens
4106,Cracks or holes,5,Hillcrest/Fresh Meadows,Queens
4107,Cracks or holes,10,Elmhurst/Corona,Queens
4108,Cracks or holes,7,Forest Hills/Rego Park,Queens
4109,Cracks or holes,9,Sunnyside/Woodside,Queens
4110,Cracks or holes,2,Middle Village/Ridgewood,Queens
4111,Cracks or holes,3,Kew Gardens/Woodhaven,Queens
4112,Cracks or holes,14,Jamaica,Queens
4113,Cracks or holes,5,Howard Beach/S.Ozone Park,Queens
4114,Cracks or holes,10,Rockaways,Queens
3701,"Broken plaster, peeling paint",11,Riverdale/Kingsbridge,Bronx
3702,"Broken plaster, peeling paint",10,Williamsbridge/Baychester,Bronx
3703,"Broken plaster, peeling paint",6,Throgs Neck/Co-op City,Bronx
3704,"Broken plaster, peeling paint",20,Pelham Parkway,Bronx
3705,"Broken plaster, peeling paint",23,Morrisania/East Tremont,Bronx
3706,"Broken plaster, peeling paint",23,Kings.Heights/Mosholu,Bronx
3707,"Broken plaster, peeling paint",27,Univ.Heights/Fordham,Bronx
3708,"Broken plaster, peeling paint",22,Highbridge/S.Concourse,Bronx
3709,"Broken plaster, peeling paint",19,Soundview/Parkchester,Bronx
3710,"Broken plaster, peeling paint",26,Mott Haven/Hunts Point,Bronx
3801,"Broken plaster, peeling paint",17,Washington Heights/Inwood,Manhattan
3802,"Broken plaster, peeling paint",24,Morning.Heights/Hamilton Heights,Manhattan
3803,"Broken plaster, peeling paint",19,Central Harlem,Manhattan
3804,"Broken plaster, peeling paint",20,East Harlem,Manhattan
3805,"Broken plaster, peeling paint",11,Upper East Side,Manhattan
3806,"Broken plaster, peeling paint",14,Upper West Side,Manhattan
3807,"Broken plaster, peeling paint",9,Chealsea/Clinton/Midtown,Manhattan
3808,"Broken plaster, peeling paint",9,Stuy.Town/Turtle Bay,Manhattan
3809,"Broken plaster, peeling paint",19,L.East Side/Chinatown,Manhattan
3810,"Broken plaster, peeling paint",11,Green.Village/Fin.District,Manhattan
3901,"Broken plaster, peeling paint",2,South Shore,Staten Island
3902,"Broken plaster, peeling paint",1,Mid Island,Staten Island
3903,"Broken plaster, peeling paint",9,North Shore,Staten Island
4001,"Broken plaster, peeling paint",9,Williamsburg/Greenpoint,Brooklyn
4002,"Broken plaster, peeling paint",18,Bushwick,Brooklyn
4003,"Broken plaster, peeling paint",18,Bedford Stuyvesant,Brooklyn
4004,"Broken plaster, peeling paint",7,Brooklyn Heights/Fort Greene,Brooklyn
4005,"Broken plaster, peeling paint",7,Park Slope/Carroll Gardens,Brooklyn
4006,"Broken plaster, peeling paint",24,N.Crown Heights/Pros.Heights,Brooklyn
4007,"Broken plaster, peeling paint",25,Brownsville/Ocean Hill,Brooklyn
4008,"Broken plaster, peeling paint",14,East New York/Starret City,Brooklyn
4009,"Broken plaster, peeling paint",10,Flatlands/Canarsie,Brooklyn
4010,"Broken plaster, peeling paint",16,East Flatbush,Brooklyn
4011,"Broken plaster, peeling paint",22,South Crown Heights,Brooklyn
4012,"Broken plaster, peeling paint",6,Sunset Park,Brooklyn
4013,"Broken plaster, peeling paint",8,Bay Ridge,Brooklyn
4014,"Broken plaster, peeling paint",7,Borough Park,Brooklyn
4015,"Broken plaster, peeling paint",15,Flatbush,Brooklyn
4016,"Broken plaster, peeling paint",8,Sheepshead Bay/Gravesend,Brooklyn
4017,"Broken plaster, peeling paint",4,Bensonhurst,Brooklyn
4018,"Broken plaster, peeling paint",10,Coney Island,Brooklyn
4101,"Broken plaster, peeling paint",14,Astoria,Queens
4102,"Broken plaster, peeling paint",8,Jackson Heights,Queens
4103,"Broken plaster, peeling paint",6,Flushing/Whitestone,Queens
4104,"Broken plaster, peeling paint",5,Bayside/Little Neck,Queens
4105,"Broken plaster, peeling paint",6,Bellerose/Rosedale,Queens
4106,"Broken plaster, peeling paint",10,Hillcrest/Fresh Meadows,Queens
4107,"Broken plaster, peeling paint",9,Elmhurst/Corona,Queens
4108,"Broken plaster, peeling paint",6,Forest Hills/Rego Park,Queens
4109,"Broken plaster, peeling paint",9,Sunnyside/Woodside,Queens
4110,"Broken plaster, peeling paint",3,Middle Village/Ridgewood,Queens
4111,"Broken plaster, peeling paint",5,Kew Gardens/Woodhaven,Queens
4112,"Broken plaster, peeling paint",12,Jamaica,Queens
4113,"Broken plaster, peeling paint",2,Howard Beach/S.Ozone Park,Queens
4114,"Broken plaster, peeling paint",13,Rockaways,Queens
3701,Toilet breakdowns,16,Riverdale/Kingsbridge,Bronx
3702,Toilet breakdowns,13,Williamsbridge/Baychester,Bronx
3703,Toilet breakdowns,4,Throgs Neck/Co-op City,Bronx
3704,Toilet breakdowns,13,Pelham Parkway,Bronx
3705,Toilet breakdowns,10,Morrisania/East Tremont,Bronx
3706,Toilet breakdowns,8,Kings.Heights/Mosholu,Bronx
3707,Toilet breakdowns,18,Univ.Heights/Fordham,Bronx
3708,Toilet breakdowns,12,Highbridge/S.Concourse,Bronx
3709,Toilet breakdowns,11,Soundview/Parkchester,Bronx
3710,Toilet breakdowns,12,Mott Haven/Hunts Point,Bronx
3801,Toilet breakdowns,10,Washington Heights/Inwood,Manhattan
3802,Toilet breakdowns,16,Morning.Heights/Hamilton Heights,Manhattan
3803,Toilet breakdowns,12,Central Harlem,Manhattan
3804,Toilet breakdowns,12,East Harlem,Manhattan
3805,Toilet breakdowns,13,Upper East Side,Manhattan
3806,Toilet breakdowns,9,Upper West Side,Manhattan
3807,Toilet breakdowns,4,Chealsea/Clinton/Midtown,Manhattan
3808,Toilet breakdowns,10,Stuy.Town/Turtle Bay,Manhattan
3809,Toilet breakdowns,12,L.East Side/Chinatown,Manhattan
3810,Toilet breakdowns,10,Green.Village/Fin.District,Manhattan
3901,Toilet breakdowns,2,South Shore,Staten Island
3902,Toilet breakdowns,2,Mid Island,Staten Island
3903,Toilet breakdowns,5,North Shore,Staten Island
4001,Toilet breakdowns,8,Williamsburg/Greenpoint,Brooklyn
4002,Toilet breakdowns,9,Bushwick,Brooklyn
4003,Toilet breakdowns,20,Bedford Stuyvesant,Brooklyn
4004,Toilet breakdowns,13,Brooklyn Heights/Fort Greene,Brooklyn
4005,Toilet breakdowns,12,Park Slope/Carroll Gardens,Brooklyn
4006,Toilet breakdowns,21,N.Crown Heights/Pros.Heights,Brooklyn
4007,Toilet breakdowns,10,Brownsville/Ocean Hill,Brooklyn
4008,Toilet breakdowns,14,East New York/Starret City,Brooklyn
4009,Toilet breakdowns,8,Flatlands/Canarsie,Brooklyn
4010,Toilet breakdowns,10,East Flatbush,Brooklyn
4011,Toilet breakdowns,7,South Crown Heights,Brooklyn
4012,Toilet breakdowns,5,Sunset Park,Brooklyn
4013,Toilet breakdowns,6,Bay Ridge,Brooklyn
4014,Toilet breakdowns,2,Borough Park,Brooklyn
4015,Toilet breakdowns,11,Flatbush,Brooklyn
4016,Toilet breakdowns,7,Sheepshead Bay/Gravesend,Brooklyn
4017,Toilet breakdowns,7,Bensonhurst,Brooklyn
4018,Toilet breakdowns,7,Coney Island,Brooklyn
4101,Toilet breakdowns,9,Astoria,Queens
4102,Toilet breakdowns,16,Jackson Heights,Queens
4103,Toilet breakdowns,9,Flushing/Whitestone,Queens
4104,Toilet breakdowns,6,Bayside/Little Neck,Queens
4105,Toilet breakdowns,7,Bellerose/Rosedale,Queens
4106,Toilet breakdowns,7,Hillcrest/Fresh Meadows,Queens
4107,Toilet breakdowns,20,Elmhurst/Corona,Queens
4108,Toilet breakdowns,6,Forest Hills/Rego Park,Queens
4109,Toilet breakdowns,17,Sunnyside/Woodside,Queens
4110,Toilet breakdowns,3,Middle Village/Ridgewood,Queens
4111,Toilet breakdowns,10,Kew Gardens/Woodhaven,Queens
4112,Toilet breakdowns,9,Jamaica,Queens
4113,Toilet breakdowns,1,Howard Beach/S.Ozone Park,Queens
4114,Toilet breakdowns,12,Rockaways,Queens
3701,Water leaks,18,Riverdale/Kingsbridge,Bronx
3702,Water leaks,14,Williamsbridge/Baychester,Bronx
3703,Water leaks,8,Throgs Neck/Co-op City,Bronx
3704,Water leaks,20,Pelham Parkway,Bronx
3705,Water leaks,26,Morrisania/East Tremont,Bronx
3706,Water leaks,26,Kings.Heights/Mosholu,Bronx
3707,Water leaks,32,Univ.Heights/Fordham,Bronx
3708,Water leaks,21,Highbridge/S.Concourse,Bronx
3709,Water leaks,17,Soundview/Parkchester,Bronx
3710,Water leaks,24,Mott Haven/Hunts Point,Bronx
3801,Water leaks,23,Washington Heights/Inwood,Manhattan
3802,Water leaks,26,Morning.Heights/Hamilton Heights,Manhattan
3803,Water leaks,20,Central Harlem,Manhattan
3804,Water leaks,18,East Harlem,Manhattan
3805,Water leaks,8,Upper East Side,Manhattan
3806,Water leaks,14,Upper West Side,Manhattan
3807,Water leaks,8,Chealsea/Clinton/Midtown,Manhattan
3808,Water leaks,7,Stuy.Town/Turtle Bay,Manhattan
3809,Water leaks,21,L.East Side/Chinatown,Manhattan
3810,Water leaks,12,Green.Village/Fin.District,Manhattan
3901,Water leaks,4,South Shore,Staten Island
3902,Water leaks,3,Mid Island,Staten Island
3903,Water leaks,7,North Shore,Staten Island
4001,Water leaks,14,Williamsburg/Greenpoint,Brooklyn
4002,Water leaks,14,Bushwick,Brooklyn
4003,Water leaks,21,Bedford Stuyvesant,Brooklyn
4004,Water leaks,17,Brooklyn Heights/Fort Greene,Brooklyn
4005,Water leaks,14,Park Slope/Carroll Gardens,Brooklyn
4006,Water leaks,26,N.Crown Heights/Pros.Heights,Brooklyn
4007,Water leaks,25,Brownsville/Ocean Hill,Brooklyn
4008,Water leaks,17,East New York/Starret City,Brooklyn
4009,Water leaks,8,Flatlands/Canarsie,Brooklyn
4010,Water leaks,16,East Flatbush,Brooklyn
4011,Water leaks,20,South Crown Heights,Brooklyn
4012,Water leaks,10,Sunset Park,Brooklyn
4013,Water leaks,10,Bay Ridge,Brooklyn
4014,Water leaks,9,Borough Park,Brooklyn
4015,Water leaks,15,Flatbush,Brooklyn
4016,Water leaks,9,Sheepshead Bay/Gravesend,Brooklyn
4017,Water leaks,6,Bensonhurst,Brooklyn
4018,Water leaks,7,Coney Island,Brooklyn
4101,Water leaks,14,Astoria,Queens
4102,Water leaks,10,Jackson Heights,Queens
4103,Water leaks,7,Flushing/Whitestone,Queens
4104,Water leaks,7,Bayside/Little Neck,Queens
4105,Water leaks,9,Bellerose/Rosedale,Queens
4106,Water leaks,9,Hillcrest/Fresh Meadows,Queens
4107,Water leaks,11,Elmhurst/Corona,Queens
4108,Water leaks,8,Forest Hills/Rego Park,Queens
4109,Water leaks,11,Sunnyside/Woodside,Queens
4110,Water leaks,2,Middle Village/Ridgewood,Queens
4111,Water leaks,8,Kew Gardens/Woodhaven,Queens
4112,Water leaks,10,Jamaica,Queens
4113,Water leaks,7,Howard Beach/S.Ozone Park,Queens
4114,Water leaks,16,Rockaways,Queens
3701,No AC,11,Riverdale/Kingsbridge,Bronx
3702,No AC,17,Williamsbridge/Baychester,Bronx
3703,No AC,4,Throgs Neck/Co-op City,Bronx
3704,No AC,12,Pelham Parkway,Bronx
3705,No AC,24,Morrisania/East Tremont,Bronx
3706,No AC,13,Kings.Heights/Mosholu,Bronx
3707,No AC,20,Univ.Heights/Fordham,Bronx
3708,No AC,15,Highbridge/S.Concourse,Bronx
3709,No AC,11,Soundview/Parkchester,Bronx
3710,No AC,16,Mott Haven/Hunts Point,Bronx
3801,No AC,8,Washington Heights/Inwood,Manhattan
3802,No AC,12,Morning.Heights/Hamilton Heights,Manhattan
3803,No AC,18,Central Harlem,Manhattan
3804,No AC,15,East Harlem,Manhattan
3805,No AC,4,Upper East Side,Manhattan
3806,No AC,6,Upper West Side,Manhattan
3807,No AC,2,Chealsea/Clinton/Midtown,Manhattan
3808,No AC,6,Stuy.Town/Turtle Bay,Manhattan
3809,No AC,9,L.East Side/Chinatown,Manhattan
3810,No AC,2,Green.Village/Fin.District,Manhattan
3901,No AC,3,South Shore,Staten Island
3902,No AC,2,Mid Island,Staten Island
3903,No AC,9,North Shore,Staten Island
4001,No AC,7,Williamsburg/Greenpoint,Brooklyn
4002,No AC,12,Bushwick,Brooklyn
4003,No AC,11,Bedford Stuyvesant,Brooklyn
4004,No AC,10,Brooklyn Heights/Fort Greene,Brooklyn
4005,No AC,8,Park Slope/Carroll Gardens,Brooklyn
4006,No AC,14,N.Crown Heights/Pros.Heights,Brooklyn
4007,No AC,18,Brownsville/Ocean Hill,Brooklyn
4008,No AC,11,East New York/Starret City,Brooklyn
4009,No AC,8,Flatlands/Canarsie,Brooklyn
4010,No AC,10,East Flatbush,Brooklyn
4011,No AC,12,South Crown Heights,Brooklyn
4012,No AC,7,Sunset Park,Brooklyn
4013,No AC,6,Bay Ridge,Brooklyn
4014,No AC,9,Borough Park,Brooklyn
4015,No AC,9,Flatbush,Brooklyn
4016,No AC,5,Sheepshead Bay/Gravesend,Brooklyn
4017,No AC,8,Bensonhurst,Brooklyn
4018,No AC,13,Coney Island,Brooklyn
4101,No AC,7,Astoria,Queens
4102,No AC,6,Jackson Heights,Queens
4103,No AC,6,Flushing/Whitestone,Queens
4104,No AC,6,Bayside/Little Neck,Queens
4105,No AC,7,Bellerose/Rosedale,Queens
4106,No AC,5,Hillcrest/Fresh Meadows,Queens
4107,No AC,4,Elmhurst/Corona,Queens
4108,No AC,8,Forest Hills/Rego Park,Queens
4109,No AC,8,Sunnyside/Woodside,Queens
4110,No AC,4,Middle Village/Ridgewood,Queens
4111,No AC,8,Kew Gardens/Woodhaven,Queens
4112,No AC,16,Jamaica,Queens
4113,No AC,6,Howard Beach/S.Ozone Park,Queens
4114,No AC,17,Rockaways,Queens
3701,Cockroaches,33,Riverdale/Kingsbridge,Bronx
