CD,CD Name,Wage,Scenario,Variable,Value
310,Bay Ridge and Dyker Heights,a20,scen1,prematuremort,147.8424
311,Bensonhurst,a20,scen1,prematuremort,181.0679
312,Borough Park,a20,scen1,prematuremort,248.1007
313,Coney Island,a20,scen1,prematuremort,203.4758
314,Flatbush and Midwood,a20,scen1,prematuremort,167.8148
315,Sheepshead Bay,a20,scen1,prematuremort,150.3645
316,Brownsville,a20,scen1,prematuremort,419.4551
317,East Flatbush,a20,scen1,prematuremort,286.9644
318,Flatlands and Canarsie,a20,scen1,prematuremort,240.8911
401,Long Island City and Astoria,a20,scen1,prematuremort,130.6488
402,Woodside and Sunnyside,a20,scen1,prematuremort,72.25916
403,Jackson Heights,a20,scen1,prematuremort,164.4704
404,Elmhurst and Corona,a20,scen1,prematuremort,145.9516
405,Ridgewood and Maspeth,a20,scen1,prematuremort,158.106
406,Rego Park and Forest Hills,a20,scen1,prematuremort,106.3148
407,Flushing and Whitestone,a20,scen1,prematuremort,158.3563
408,Hillcrest and Fresh Meadows,a20,scen1,prematuremort,170.2344
409,Kew Gardens and Woodhaven,a20,scen1,prematuremort,124.9944
410,South Ozone Park and Howard Beach,a20,scen1,prematuremort,181.2794
411,Bayside and Little Neck,a20,scen1,prematuremort,89.73347
412,Jamaica and Hollis,a20,scen1,prematuremort,229.8123
413,Queens Village,a20,scen1,prematuremort,207.1398
414,Rockaway and Broad Channel,a20,scen1,prematuremort,313.6085
501,St. George and Stapleton,a20,scen1,prematuremort,282.4008
502,South Beach and Willowbrook,a20,scen1,prematuremort,155.9827
503,Tottenville and Great Kills,a20,scen1,prematuremort,162.7137
101,Financial District,a20,scen2,poverty,15.0389
102,Greenwich Village and Soho,a20,scen2,poverty,15.0389
103,Lower East Side and Chinatown,a20,scen2,poverty,40.3767
104,Clinton and Chelsea,a20,scen2,poverty,17.5968
105,Midtown,a20,scen2,poverty,14.74092
106,Stuyvesant Town and Turtle Bay,a20,scen2,poverty,14.74092
107,Upper West Side,a20,scen2,poverty,18.27027
108,Upper East Side,a20,scen2,poverty,7.6701
109,Morningside Heights and Hamilton Heights,a20,scen2,poverty,47.75693
110,Central Harlem,a20,scen2,poverty,37.81938
111,East Harlem,a20,scen2,poverty,53.70981
112,Washington Heights and Inwood,a20,scen2,poverty,31.02864
201,Mott Haven and Melrose,a20,scen2,poverty,55.16101
202,Hunts Point and Longwood,a20,scen2,poverty,55.16101
203,Morrisania and Crotona,a20,scen2,poverty,62.41067
204,Highbridge and Concourse,a20,scen2,poverty,51.60893
205,Fordham and University Heights,a20,scen2,poverty,55.8498
206,Belmont and East Tremont,a20,scen2,poverty,62.41067
207,Kingsbridge Heights and Bedford,a20,scen2,poverty,47.52484
208,Riverdale and Fieldston,a20,scen2,poverty,29.79739
209,Parkchester and Soundview,a20,scen2,poverty,55.09739
210,Throgs Neck and Co-op City,a20,scen2,poverty,28.13322
211,Morris Park and Bronxdale,a20,scen2,poverty,34.09114
212,Williamsbridge and Baychester,a20,scen2,poverty,35.38598
301,Greenpoint and Williamsburg,a20,scen2,poverty,28.2047
302,Fort Greene and Brooklyn Heights,a20,scen2,poverty,19.71017
303,Bedford Stuyvesant,a20,scen2,poverty,35.62409
304,Bushwick,a20,scen2,poverty,27.50072
305,East New York and Starrett City,a20,scen2,poverty,40.17918
306,Park Slope and Carroll Gardens,a20,scen2,poverty,15.18009
307,Sunset Park,a20,scen2,poverty,30.13875
308,Crown Heights and Prospect Heights,a20,scen2,poverty,26.66609
309,South Crown Heights and Lefferts Gardens,a20,scen2,poverty,28.40847
310,Bay Ridge and Dyker Heights,a20,scen2,poverty,25.99886
311,Bensonhurst,a20,scen2,poverty,35.99957
312,Borough Park,a20,scen2,poverty,49.97342
313,Coney Island,a20,scen2,poverty,35.43763
314,Flatbush and Midwood,a20,scen2,poverty,25.40464
315,Sheepshead Bay,a20,scen2,poverty,32.66007
316,Brownsville,a20,scen2,poverty,53.34116
317,East Flatbush,a20,scen2,poverty,32.91052
318,Flatlands and Canarsie,a20,scen2,poverty,21.44889
401,Long Island City and Astoria,a20,scen2,poverty,25.38999
402,Woodside and Sunnyside,a20,scen2,poverty,21.22104
403,Jackson Heights,a20,scen2,poverty,36.36517
404,Elmhurst and Corona,a20,scen2,poverty,32.77734
405,Ridgewood and Maspeth,a20,scen2,poverty,21.89546
406,Rego Park and Forest Hills,a20,scen2,poverty,19.20199
407,Flushing and Whitestone,a20,scen2,poverty,35.88044
408,Hillcrest and Fresh Meadows,a20,scen2,poverty,33.71452
409,Kew Gardens and Woodhaven,a20,scen2,poverty,22.33078
410,South Ozone Park and Howard Beach,a20,scen2,poverty,29.99967
411,Bayside and Little Neck,a20,scen2,poverty,17.48379
412,Jamaica and Hollis,a20,scen2,poverty,27.20666
413,Queens Village,a20,scen2,poverty,16.81111
414,Rockaway and Broad Channel,a20,scen2,poverty,38.33627
501,St. George and Stapleton,a20,scen2,poverty,36.57968
502,South Beach and Willowbrook,a20,scen2,poverty,18.28579
503,Tottenville and Great Kills,a20,scen2,poverty,16.99965
101,Financial District,a20,scen2,prematuremort,102.567
102,Greenwich Village and Soho,a20,scen2,prematuremort,102.567
103,Lower East Side and Chinatown,a20,scen2,prematuremort,200.1553
104,Clinton and Chelsea,a20,scen2,prematuremort,84.95309
105,Midtown,a20,scen2,prematuremort,69.67461
106,Stuyvesant Town and Turtle Bay,a20,scen2,prematuremort,69.67461
107,Upper West Side,a20,scen2,prematuremort,142.5762
108,Upper East Side,a20,scen2,prematuremort,98.05856
109,Morningside Heights and Hamilton Heights,a20,scen2,prematuremort,244.2478
110,Central Harlem,a20,scen2,prematuremort,311.574
111,East Harlem,a20,scen2,prematuremort,342.3572
112,Washington Heights and Inwood,a20,scen2,prematuremort,208.0673
201,Mott Haven and Melrose,a20,scen2,prematuremort,330.2662
202,Hunts Point and Longwood,a20,scen2,prematuremort,330.2662
203,Morrisania and Crotona,a20,scen2,prematuremort,386.049
204,Highbridge and Concourse,a20,scen2,prematuremort,334.8625
205,Fordham and University Heights,a20,scen2,prematuremort,395.3733
206,Belmont and East Tremont,a20,scen2,prematuremort,386.049
207,Kingsbridge Heights and Bedford,a20,scen2,prematuremort,278.5616
208,Riverdale and Fieldston,a20,scen2,prematuremort,218.9087
209,Parkchester and Soundview,a20,scen2,prematuremort,336.7182
210,Throgs Neck and Co-op City,a20,scen2,prematuremort,238.3234
211,Morris Park and Bronxdale,a20,scen2,prematuremort,242.0142
212,Williamsbridge and Baychester,a20,scen2,prematuremort,309.5321
301,Greenpoint and Williamsburg,a20,scen2,prematuremort,147.7515
302,Fort Greene and Brooklyn Heights,a20,scen2,prematuremort,133.3717
303,Bedford Stuyvesant,a20,scen2,prematuremort,274.8027
304,Bushwick,a20,scen2,prematuremort,173.8114
305,East New York and Starrett City,a20,scen2,prematuremort,338.9701
306,Park Slope and Carroll Gardens,a20,scen2,prematuremort,120.5779
307,Sunset Park,a20,scen2,prematuremort,153.511
308,Crown Heights and Prospect Heights,a20,scen2,prematuremort,243.5593
309,South Crown Heights and Lefferts Gardens,a20,scen2,prematuremort,247.2975
310,Bay Ridge and Dyker Heights,a20,scen2,prematuremort,146.4841
311,Bensonhurst,a20,scen2,prematuremort,176.1924
312,Borough Park,a20,scen2,prematuremort,248.1007
313,Coney Island,a20,scen2,prematuremort,203.2984
314,Flatbush and Midwood,a20,scen2,prematuremort,163.9169
315,Sheepshead Bay,a20,scen2,prematuremort,150.3645
316,Brownsville,a20,scen2,prematuremort,418.4129
317,East Flatbush,a20,scen2,prematuremort,286.9644
318,Flatlands and Canarsie,a20,scen2,prematuremort,240.8911
401,Long Island City and Astoria,a20,scen2,prematuremort,130.6488
402,Woodside and Sunnyside,a20,scen2,prematuremort,71.36236
403,Jackson Heights,a20,scen2,prematuremort,163.9997
404,Elmhurst and Corona,a20,scen2,prematuremort,144.1547
405,Ridgewood and Maspeth,a20,scen2,prematuremort,157.1383
406,Rego Park and Forest Hills,a20,scen2,prematuremort,106.0969
407,Flushing and Whitestone,a20,scen2,prematuremort,157.578
408,Hillcrest and Fresh Meadows,a20,scen2,prematuremort,167.7331
409,Kew Gardens and Woodhaven,a20,scen2,prematuremort,124.2678
410,South Ozone Park and Howard Beach,a20,scen2,prematuremort,180.3706
411,Bayside and Little Neck,a20,scen2,prematuremort,88.74352
412,Jamaica and Hollis,a20,scen2,prematuremort,228.4815
413,Queens Village,a20,scen2,prematuremort,206.8532
414,Rockaway and Broad Channel,a20,scen2,prematuremort,312.5256
501,St. George and Stapleton,a20,scen2,prematuremort,280.0784
502,South Beach and Willowbrook,a20,scen2,prematuremort,155.9827
503,Tottenville and Great Kills,a20,scen2,prematuremort,162.7137
101,Financial District,a20,scen3,poverty,16.202
102,Greenwich Village and Soho,a20,scen3,poverty,16.202
103,Lower East Side and Chinatown,a20,scen3,poverty,40.73136
104,Clinton and Chelsea,a20,scen3,poverty,17.5968
105,Midtown,a20,scen3,poverty,15.93814
106,Stuyvesant Town and Turtle Bay,a20,scen3,poverty,15.93814
107,Upper West Side,a20,scen3,poverty,18.39176
108,Upper East Side,a20,scen3,poverty,7.92887
109,Morningside Heights and Hamilton Heights,a20,scen3,poverty,47.78152
110,Central Harlem,a20,scen3,poverty,38.6702
111,East Harlem,a20,scen3,poverty,54.18485
112,Washington Heights and Inwood,a20,scen3,poverty,32.88742
201,Mott Haven and Melrose,a20,scen3,poverty,56.80903
202,Hunts Point and Longwood,a20,scen3,poverty,56.80903
203,Morrisania and Crotona,a20,scen3,poverty,65.00503
204,Highbridge and Concourse,a20,scen3,poverty,53.32799
205,Fordham and University Heights,a20,scen3,poverty,58.23068
206,Belmont and East Tremont,a20,scen3,poverty,65.00503
207,Kingsbridge Heights and Bedford,a20,scen3,poverty,52.71288
208,Riverdale and Fieldston,a20,scen3,poverty,31.6755
209,Parkchester and Soundview,a20,scen3,poverty,56.86312
210,Throgs Neck and Co-op City,a20,scen3,poverty,29.71815
211,Morris Park and Bronxdale,a20,scen3,poverty,35.05198
212,Williamsbridge and Baychester,a20,scen3,poverty,35.6505
301,Greenpoint and Williamsburg,a20,scen3,poverty,28.84259
302,Fort Greene and Brooklyn Heights,a20,scen3,poverty,20.82713
303,Bedford Stuyvesant,a20,scen3,poverty,38.44461
304,Bushwick,a20,scen3,poverty,28.77669
305,East New York and Starrett City,a20,scen3,poverty,41.52142
306,Park Slope and Carroll Gardens,a20,scen3,poverty,15.23926
307,Sunset Park,a20,scen3,poverty,31.07118
308,Crown Heights and Prospect Heights,a20,scen3,poverty,28.07815
309,South Crown Heights and Lefferts Gardens,a20,scen3,poverty,30.52429
310,Bay Ridge and Dyker Heights,a20,scen3,poverty,27.37224
311,Bensonhurst,a20,scen3,poverty,38.29885
312,Borough Park,a20,scen3,poverty,50.45892
313,Coney Island,a20,scen3,poverty,36.13194
314,Flatbush and Midwood,a20,scen3,poverty,27.23992
315,Sheepshead Bay,a20,scen3,poverty,33.02081
316,Brownsville,a20,scen3,poverty,54.45928
317,East Flatbush,a20,scen3,poverty,33.86619
318,Flatlands and Canarsie,a20,scen3,poverty,22.18191
401,Long Island City and Astoria,a20,scen3,poverty,25.81817
402,Woodside and Sunnyside,a20,scen3,poverty,22.35508
403,Jackson Heights,a20,scen3,poverty,39.90604
404,Elmhurst and Corona,a20,scen3,poverty,36.47607
405,Ridgewood and Maspeth,a20,scen3,poverty,23.3433
406,Rego Park and Forest Hills,a20,scen3,poverty,19.38762
407,Flushing and Whitestone,a20,scen3,poverty,36.53132
408,Hillcrest and Fresh Meadows,a20,scen3,poverty,36.74792
409,Kew Gardens and Woodhaven,a20,scen3,poverty,25.16239
410,South Ozone Park and Howard Beach,a20,scen3,poverty,31.47335
411,Bayside and Little Neck,a20,scen3,poverty,17.76498
412,Jamaica and Hollis,a20,scen3,poverty,28.98399
413,Queens Village,a20,scen3,poverty,18.53991
414,Rockaway and Broad Channel,a20,scen3,poverty,38.93631
501,St. George and Stapleton,a20,scen3,poverty,37.61417
502,South Beach and Willowbrook,a20,scen3,poverty,18.49146
503,Tottenville and Great Kills,a20,scen3,poverty,17.12638
101,Financial District,a20,scen3,prematuremort,106.6618
102,Greenwich Village and Soho,a20,scen3,prematuremort,106.6618
103,Lower East Side and Chinatown,a20,scen3,prematuremort,201.4039
104,Clinton and Chelsea,a20,scen3,prematuremort,84.95309
105,Midtown,a20,scen3,prematuremort,73.88956
106,Stuyvesant Town and Turtle Bay,a20,scen3,prematuremort,73.88956
107,Upper West Side,a20,scen3,prematuremort,143.0039
108,Upper East Side,a20,scen3,prematuremort,98.96959
109,Morningside Heights and Hamilton Heights,a20,scen3,prematuremort,244.3343
110,Central Harlem,a20,scen3,prematuremort,314.5694
111,East Harlem,a20,scen3,prematuremort,344.0297
112,Washington Heights and Inwood,a20,scen3,prematuremort,214.6114
201,Mott Haven and Melrose,a20,scen3,prematuremort,336.0682
202,Hunts Point and Longwood,a20,scen3,prematuremort,336.0682
203,Morrisania and Crotona,a20,scen3,prematuremort,395.1827
204,Highbridge and Concourse,a20,scen3,prematuremort,340.9147
205,Fordham and University Heights,a20,scen3,prematuremort,403.7554
206,Belmont and East Tremont,a20,scen3,prematuremort,395.1827
207,Kingsbridge Heights and Bedford,a20,scen3,prematuremort,296.8268
208,Riverdale and Fieldston,a20,scen3,prematuremort,225.5208
209,Parkchester and Soundview,a20,scen3,prematuremort,342.9347
210,Throgs Neck and Co-op City,a20,scen3,prematuremort,243.9033
211,Morris Park and Bronxdale,a20,scen3,prematuremort,245.397
212,Williamsbridge and Baychester,a20,scen3,prematuremort,310.4633
301,Greenpoint and Williamsburg,a20,scen3,prematuremort,149.9973
302,Fort Greene and Brooklyn Heights,a20,scen3,prematuremort,137.3041
303,Bedford Stuyvesant,a20,scen3,prematuremort,284.7326
304,Bushwick,a20,scen3,prematuremort,178.3036
305,East New York and Starrett City,a20,scen3,prematuremort,343.6956
306,Park Slope and Carroll Gardens,a20,scen3,prematuremort,120.7862
307,Sunset Park,a20,scen3,prematuremort,156.7938
308,Crown Heights and Prospect Heights,a20,scen3,prematuremort,248.5306
309,South Crown Heights and Lefferts Gardens,a20,scen3,prematuremort,254.7465
310,Bay Ridge and Dyker Heights,a20,scen3,prematuremort,151.3193
311,Bensonhurst,a20,scen3,prematuremort,184.2872
312,Borough Park,a20,scen3,prematuremort,249.81
313,Coney Island,a20,scen3,prematuremort,205.7428
314,Flatbush and Midwood,a20,scen3,prematuremort,170.3783
315,Sheepshead Bay,a20,scen3,prematuremort,151.6346
316,Brownsville,a20,scen3,prematuremort,422.3494
317,East Flatbush,a20,scen3,prematuremort,290.3289
318,Flatlands and Canarsie,a20,scen3,prematuremort,243.4718
401,Long Island City and Astoria,a20,scen3,prematuremort,132.1562
402,Woodside and Sunnyside,a20,scen3,prematuremort,75.35488
403,Jackson Heights,a20,scen3,prematuremort,176.4657
404,Elmhurst and Corona,a20,scen3,prematuremort,157.1765
405,Ridgewood and Maspeth,a20,scen3,prematuremort,162.2355
406,Rego Park and Forest Hills,a20,scen3,prematuremort,106.7505
407,Flushing and Whitestone,a20,scen3,prematuremort,159.8695
408,Hillcrest and Fresh Meadows,a20,scen3,prematuremort,178.4126
409,Kew Gardens and Woodhaven,a20,scen3,prematuremort,134.2369
410,South Ozone Park and Howard Beach,a20,scen3,prematuremort,185.5588
411,Bayside and Little Neck,a20,scen3,prematuremort,89.73347
412,Jamaica and Hollis,a20,scen3,prematuremort,234.7388
413,Queens Village,a20,scen3,prematuremort,212.9396
414,Rockaway and Broad Channel,a20,scen3,prematuremort,314.6381
501,St. George and Stapleton,a20,scen3,prematuremort,283.7204
502,South Beach and Willowbrook,a20,scen3,prematuremort,156.7067
503,Tottenville and Great Kills,a20,scen3,prematuremort,163.1598
101,Financial District,b30,scen1,poverty,14.65693
102,Greenwich Village and Soho,b30,scen1,poverty,14.65693
103,Lower East Side and Chinatown,b30,scen1,poverty,34.8156
104,Clinton and Chelsea,b30,scen1,poverty,17.11181
105,Midtown,b30,scen1,poverty,14.39544
106,Stuyvesant Town and Turtle Bay,b30,scen1,poverty,14.39544
107,Upper West Side,b30,scen1,poverty,17.65784
108,Upper East Side,b30,scen1,poverty,7.34001
109,Morningside Heights and Hamilton Heights,b30,scen1,poverty,42.3675
110,Central Harlem,b30,scen1,poverty,35.24788
111,East Harlem,b30,scen1,poverty,49.21198
112,Washington Heights and Inwood,b30,scen1,poverty,26.07756
201,Mott Haven and Melrose,b30,scen1,poverty,50.87846
202,Hunts Point and Longwood,b30,scen1,poverty,50.87846
203,Morrisania and Crotona,b30,scen1,poverty,57.76381
204,Highbridge and Concourse,b30,scen1,poverty,46.6121
205,Fordham and University Heights,b30,scen1,poverty,48.81646
206,Belmont and East Tremont,b30,scen1,poverty,57.76381
207,Kingsbridge Heights and Bedford,b30,scen1,poverty,41.78996
208,Riverdale and Fieldston,b30,scen1,poverty,25.15695
209,Parkchester and Soundview,b30,scen1,poverty,45.94397
210,Throgs Neck and Co-op City,b30,scen1,poverty,23.91488
211,Morris Park and Bronxdale,b30,scen1,poverty,30.35231
212,Williamsbridge and Baychester,b30,scen1,poverty,28.28334
301,Greenpoint and Williamsburg,b30,scen1,poverty,25.33763
302,Fort Greene and Brooklyn Heights,b30,scen1,poverty,17.92705
303,Bedford Stuyvesant,b30,scen1,poverty,32.48149
304,Bushwick,b30,scen1,poverty,22.79356
305,East New York and Starrett City,b30,scen1,poverty,31.55642
306,Park Slope and Carroll Gardens,b30,scen1,poverty,13.80512
307,Sunset Park,b30,scen1,poverty,25.23843
308,Crown Heights and Prospect Heights,b30,scen1,poverty,24.89244
309,South Crown Heights and Lefferts Gardens,b30,scen1,poverty,26.27148
310,Bay Ridge and Dyker Heights,b30,scen1,poverty,22.53843
311,Bensonhurst,b30,scen1,poverty,29.04476
312,Borough Park,b30,scen1,poverty,44.24795
313,Coney Island,b30,scen1,poverty,29.09343
314,Flatbush and Midwood,b30,scen1,poverty,24.18559
315,Sheepshead Bay,b30,scen1,poverty,25.36987
316,Brownsville,b30,scen1,poverty,50.1522
317,East Flatbush,b30,scen1,poverty,27.77226
318,Flatlands and Canarsie,b30,scen1,poverty,19.50477
401,Long Island City and Astoria,b30,scen1,poverty,21.56642
402,Woodside and Sunnyside,b30,scen1,poverty,17.03667
403,Jackson Heights,b30,scen1,poverty,29.06056
404,Elmhurst and Corona,b30,scen1,poverty,27.24079
405,Ridgewood and Maspeth,b30,scen1,poverty,19.01124
406,Rego Park and Forest Hills,b30,scen1,poverty,17.90253
407,Flushing and Whitestone,b30,scen1,poverty,28.96117
408,Hillcrest and Fresh Meadows,b30,scen1,poverty,29.68969
409,Kew Gardens and Woodhaven,b30,scen1,poverty,16.58054
410,South Ozone Park and Howard Beach,b30,scen1,poverty,24.59292
411,Bayside and Little Neck,b30,scen1,poverty,15.91909
412,Jamaica and Hollis,b30,scen1,poverty,24.74259
413,Queens Village,b30,scen1,poverty,13.34645
414,Rockaway and Broad Channel,b30,scen1,poverty,33.19591
501,St. George and Stapleton,b30,scen1,poverty,34.00481
502,South Beach and Willowbrook,b30,scen1,poverty,15.48461
503,Tottenville and Great Kills,b30,scen1,poverty,13.87677
101,Financial District,b30,scen1,prematuremort,101.2222
102,Greenwich Village and Soho,b30,scen1,prematuremort,101.2222
103,Lower East Side and Chinatown,b30,scen1,prematuremort,180.5768
104,Clinton and Chelsea,b30,scen1,prematuremort,83.24562
105,Midtown,b30,scen1,prematuremort,68.45831
106,Stuyvesant Town and Turtle Bay,b30,scen1,prematuremort,68.45831
107,Upper West Side,b30,scen1,prematuremort,140.4201
108,Upper East Side,b30,scen1,prematuremort,96.89644
109,Morningside Heights and Hamilton Heights,b30,scen1,prematuremort,225.2737
110,Central Harlem,b30,scen1,prematuremort,302.5207
111,East Harlem,b30,scen1,prematuremort,326.5221
112,Washington Heights and Inwood,b30,scen1,prematuremort,190.6364
201,Mott Haven and Melrose,b30,scen1,prematuremort,315.1889
202,Hunts Point and Longwood,b30,scen1,prematuremort,315.1889
203,Morrisania and Crotona,b30,scen1,prematuremort,369.6891
204,Highbridge and Concourse,b30,scen1,prematuremort,317.2706
205,Fordham and University Heights,b30,scen1,prematuremort,370.6116
206,Belmont and East Tremont,b30,scen1,prematuremort,369.6891
207,Kingsbridge Heights and Bedford,b30,scen1,prematuremort,258.3713
208,Riverdale and Fieldston,b30,scen1,prematuremort,202.5714
209,Parkchester and Soundview,b30,scen1,prematuremort,304.4926
210,Throgs Neck and Co-op City,b30,scen1,prematuremort,223.4722
211,Morris Park and Bronxdale,b30,scen1,prematuremort,228.8512
212,Williamsbridge and Baychester,b30,scen1,prematuremort,284.5264
301,Greenpoint and Williamsburg,b30,scen1,prematuremort,137.6576
302,Fort Greene and Brooklyn Heights,b30,scen1,prematuremort,127.0941
303,Bedford Stuyvesant,b30,scen1,prematuremort,263.7388
304,Bushwick,b30,scen1,prematuremort,157.2393
305,East New York and Starrett City,b30,scen1,prematuremort,308.6127
306,Park Slope and Carroll Gardens,b30,scen1,prematuremort,115.7371
307,Sunset Park,b30,scen1,prematuremort,136.2589
308,Crown Heights and Prospect Heights,b30,scen1,prematuremort,237.3149
309,South Crown Heights and Lefferts Gardens,b30,scen1,prematuremort,239.774
310,Bay Ridge and Dyker Heights,b30,scen1,prematuremort,134.3013
311,Bensonhurst,b30,scen1,prematuremort,151.7071
312,Borough Park,b30,scen1,prematuremort,227.9435
313,Coney Island,b30,scen1,prematuremort,180.9629
314,Flatbush and Midwood,b30,scen1,prematuremort,159.6251
315,Sheepshead Bay,b30,scen1,prematuremort,124.6985
316,Brownsville,b30,scen1,prematuremort,407.1858
317,East Flatbush,b30,scen1,prematuremort,268.8745
318,Flatlands and Canarsie,b30,scen1,prematuremort,234.0466
401,Long Island City and Astoria,b30,scen1,prematuremort,117.1874
402,Woodside and Sunnyside,b30,scen1,prematuremort,56.63079
403,Jackson Heights,b30,scen1,prematuremort,138.2829
404,Elmhurst and Corona,b30,scen1,prematuremort,124.6626
405,Ridgewood and Maspeth,b30,scen1,prematuremort,146.984
406,Rego Park and Forest Hills,b30,scen1,prematuremort,101.522
407,Flushing and Whitestone,b30,scen1,prematuremort,133.2179
