Brand Name,Item Name,Calories needed for 50g added sugar,NFL: Calories,NFL: Added Sugars
Harney & Sons,Organic Orange Mango Juice Drink from Concentrate,194,190,49
Harney & Sons,Lavender Vanilla Milk Chocolate Tea Infused Chocolate Bar,647,220,17
Hawaiian Punch,Candy Jellies,333,100,15
Hawaiian Punch,Fruit Juicy Red,211,80,19
Hawaiian Sun,Pass-O-Guava Nectar,221,150,34
Hawaiian Sun,Guava Nectar Drink,234,150,32
Hawaiian Sun,Coconut Syrup,261,120,23
Hawaiian Sun,Passion Orange Juice Drink,194,140,36
Health-Ade,Citrus Immune Boost Kombucha,267,80,15
Health-Ade,Citrus Immune Boost Glow Up Kombucha,267,80,15
Henry Weinhard's,"Gourmet Soda, Black Cherry Cream",198,170,43
Henry Weinhard's,"Gourmet Soda, Vanilla Cream",200,180,45
Henry Weinhard's,"Gourmet Soda, Orange Cream",198,170,43
Honest,Organic Honey Green Tea,184,70,19
Honest,"Half & Half, Just a Tad Sweet",200,100,25
Hubert's,Lemonade,200,60,15
IBC,Root Beer,200,160,40
IBC,Cream Soda,205,180,44
IBC,Black Cherry Soda,198,170,43
Jarritos,Mandarin Flavor Soda,203,150,37
Jarritos,Grapefruit Soda,206,140,34
Jarritos,Strawberry Soda,200,140,35
Jarritos,Guava Soda,212,110,26
Jarritos,Pineapple Flavored Soda,212,110,26
Joe Tea,Raspberry Tea,206,280,68
Joe Tea,"Half Lemon Tea, Half Lemonade",214,240,56
Joe Tea,Raspberry Tea Lemonade,217,260,60
Joe Tea,Peach Tea,200,200,50
Jones Soda Co.,Berry Lemonade Soda,225,90,20
Kevita,"Sparkling Drink, Lemon Ginger, Probiotic Refresher",233,70,15
Kevita,Pineapple Peach Kombucha,200,60,15
Kevita,Ginger Master Brew Kombucha,200,60,15
Kool-Aid,Caffeine Free Tropical Punch Drink Mix,196,110,28
Kool-Aid,Caffeine Free Grape Drink Mix,200,100,25
Kool-Aid,Orange Flavored Soda,206,140,34
Kool-Aid,Black Cherry Soda,227,150,33
Kool-Aid,Strawberry Drink Mix,196,110,28
Laziza,Non-Alcoholic Pineapple Malt Beverage,316,120,19
Laziza,Non-Alcoholic Pomegranate Malt Beverage,316,120,19
Laziza,Non-Alcoholic Raspberry Malt Beverage,316,120,19
Lester's Fixins,Pickle Flavored Soda,202,170,42
Lipton,Peach Iced Tea,200,100,25
Lipton,Fusions Lemonade Iced Tea,196,90,23
Lipton,Lemon Iced Tea,208,100,24
Lipton,Pineapple Mango Lemonade Iced Tea,196,90,23
Lipton,Raspberry White Tea,214,90,21
Lipton,"Green Tea, With Citrus",207,120,29
Lipton,Lemon Iced Tea Mix,208,100,24
Lorina,Blood Orange Flavored Sparkling Beverage,200,100,25
Lorina,Artisanal Sparkling Lemonade,204,110,27
Maine Root,Non Alcoholic Ginger Spicy Brew,207,145,35
Maine Root,Caffeine Free Blueberry Soda,207,145,35
Maine Root,Sarsaparilla,207,145,35
Manzanita Sol,Apple Soda,188,120,32
Mello Yello,Citrus Flavored Soda,191,180,47
Merchant's Craft,Washington Apple Soft Drink,219,140,32
Merchant's Craft,Doc Merchant Soft Drink,212,140,33
Merchant's Craft,Caffeine Free Root Beer,214,150,35
Merchant's Craft,Caffeine Free Lemon Lime Soft Drink,203,130,32
Merchant's Craft,"Soft Drink, Fizzle Berry",209,180,43
Minute Maid,Fruit Punch,200,80,20
Minute Maid,Lemonade,185,100,27
Minute Maid,Cranberry Grape Fruit Juice,244,190,39
Minute Maid, Cranberry Apple Raspberry Flavored Juice Beverage,237,180,38
Minute Maid,Peach Punch,200,80,20
Minute Maid,Mango Punch Juice,190,80,21
Minute Maid,Strawberry Lemonade Juice,194,70,18
Mirinda,Orange Flavor Soft Drink,206,70,17
Monster,Bad Apple Energy Drink,207,170,41
Monster,Electric Blue Energy Drink,206,210,51
Monster,"Java Coffee + Energy Drink, Mean Bean",458,220,24
Monster,Orange Dreamsicle Energy Drink,217,200,46
Monster,Pipeline Punch Energy Juice,250,190,38
Monster,"Energy Coffee, Triple Shot, Loca Mocha",478,220,23
Monster,Rio Punch Flavor Energy plus Juice Drink,212,140,33
Monster,"Java Coffee + Energy, Irish Blend",475,190,20
Monster,Mega Energy Drink,207,170,41
Mountain Dew,Dragon Fruit Soda,193,170,44
Mountain Dew,Voltage,185,170,46
Mountain Dew,Carbonated Water,185,230,62
Mountain Dew,LiveWire Soda,188,290,77
Mountain Dew,Soda,185,170,46
Mountain Dew,Purple Thunder Soda,182,160,44
Mountain Dew,Code Red Soda,188,240,64
Mountain Dew,Baja Blast Soda,193,170,44
Moxie,Soda,189,140,37
Moxie,Original Elixir,203,150,37
Mug,Root Beer Soda,186,160,43
Naked,Vanilla Protein Vanilla Flavored Almondmilk Smoothie,402,370,46
Nature's Twist,Original Lemonade,204,110,27
Nature's Twist,Caffeine-Free Original Orangeade,205,230,56
Nature's Twist,Pink Lemonade,204,110,27
New creation soda works,Strawberry Habanero Soda,214,120,28
Northern Soda Company,"Craft Soda, Cream Soda",185,170,46
Northern Soda Company,"Craft Soda, Orange",190,160,42
Northern Soda Company,Butter Scotch Root Beer Craft Soda,185,170,46
Orangina,Sparkling Citrus Beverage,238,100,21
Orangina,Rouge Sparkling Blood Orange Beverage,241,140,29
Peace Tea,Razzleberry Sweet Iced Tea,196,110,28
Peace Tea,Lemon-Flavored Tea,196,110,28
Peace Tea,Just Peachy Tea,200,100,25
Peace Tea,Lemon-Flavored Tea Caddy Shack,190,80,21
