Pollutant,Tertile,Source,Value,Time,Season
NO,ALL,ALL,15.36745243,2022,ALL
NO2,ALL,ALL,17.85902261,2022,ALL
O3,ALL,ALL,32.20995929,2022,ALL
PM2.5,ALL,ALL,6.437334576,2022,ALL
SO2,ALL,ALL,0.114694576,2022,ALL
BC,ALL,ALL,0.729154145,2021,Winter
NO,ALL,ALL,21.84142318,2021,Winter
NO2,ALL,ALL,23.04411498,2021,Winter
PM2.5,ALL,ALL,7.20067178,2021,Winter
SO2,ALL,ALL,0.140754921,2021,Winter
BC,ALL,ALL,0.66461001,2021,Spring
NO,ALL,ALL,12.96714408,2021,Spring
NO2,ALL,ALL,17.78795937,2021,Spring
PM2.5,ALL,ALL,6.001650206,2021,Spring
BC,ALL,ALL,0.816822587,2021,Summer
NO,ALL,ALL,8.89779769,2021,Summer
NO2,ALL,ALL,14.23236932,2021,Summer
O3,ALL,ALL,29.98930907,2021,Summer
PM2.5,ALL,ALL,9.033354034,2021,Summer
BC,ALL,ALL,0.77127922,2021,Fall
NO,ALL,ALL,17.92199556,2021,Fall
NO2,ALL,ALL,19.37021486,2021,Fall
PM2.5,ALL,ALL,6.189158628,2021,Fall
PM2.5,Low,Boiler PM2.5 Emissions,6.780566744,2021,ALL
PM2.5,Medium,Boiler PM2.5 Emissions,6.73956552,2021,ALL
PM2.5,High,Boiler PM2.5 Emissions,7.696083953,2021,ALL
PM2.5,Low,Commercial Cooking,6.937925279,2021,ALL
PM2.5,Medium,Commercial Cooking,6.522437767,2021,ALL
PM2.5,High,Commercial Cooking,7.735078796,2021,ALL
PM2.5,Low,Traffic Density,6.76782144,2021,ALL
PM2.5,Medium,Traffic Density,6.56748302,2021,ALL
PM2.5,High,Traffic Density,7.890928678,2021,ALL
NO2,Low,Building Density,16.16429494,2021,ALL
NO2,Medium,Building Density,17.63028253,2021,ALL
NO2,High,Building Density,20.91850177,2021,ALL
NO2,Low,Traffic NOx Emissions,16.73274926,2021,ALL
NO2,Medium,Traffic NOx Emissions,16.54168942,2021,ALL
NO2,High,Traffic NOx Emissions,21.21983564,2021,ALL
O3,Low,Traffic Density,31.60285592,2021,ALL
O3,Medium,Traffic Density,29.98506652,2021,ALL
O3,High,Traffic Density,28.22106053,2021,ALL
NO,Low,Boiler Density,13.63882226,2021,ALL
NO,Medium,Boiler Density,14.71727957,2021,ALL
NO,High,Boiler Density,16.24724617,2021,ALL
NO,Low,Traffic NOx Emissions,13.78691581,2021,ALL
NO,Medium,Traffic NOx Emissions,11.2094591,2021,ALL
NO,High,Traffic NOx Emissions,19.61752822,2021,ALL
BC,Low,Industrial Areas,0.67966085,2021,ALL
BC,Medium,Industrial Areas,0.683240007,2021,ALL
BC,High,Industrial Areas,0.865003684,2021,ALL
BC,Low,Commercial Cooking,0.742376715,2021,ALL
BC,Medium,Commercial Cooking,0.658272638,2021,ALL
BC,High,Commercial Cooking,0.81379353,2021,ALL
BC,Low,Traffic Density,0.662067063,2021,ALL
BC,Medium,Traffic Density,0.675953318,2021,ALL
BC,High,Traffic Density,0.87812184,2021,ALL
BC,ALL,ALL,0.74546649,2021,ALL
NO,ALL,ALL,15.34817081,2021,ALL
NO2,ALL,ALL,18.5631833,2021,ALL
O3,ALL,ALL,29.98930907,2021,ALL
PM2.5,ALL,ALL,7.106208662,2021,ALL
SO2,ALL,ALL,0.140754921,2021,ALL
BC,ALL,ALL,0.869078063,2020,Winter
NO,ALL,ALL,30.19005928,2020,Winter
NO2,ALL,ALL,26.09743156,2020,Winter
PM2.5,ALL,ALL,8.164384647,2020,Winter
SO2,ALL,ALL,0.103214836,2020,Winter
BC,ALL,ALL,0.499746803,2020,Spring
NO,ALL,ALL,9.920171834,2020,Spring
NO2,ALL,ALL,13.46842071,2020,Spring
PM2.5,ALL,ALL,4.581476776,2020,Spring
BC,ALL,ALL,0.806447394,2020,Summer
NO,ALL,ALL,8.48642947,2020,Summer
NO2,ALL,ALL,13.59813508,2020,Summer
O3,ALL,ALL,30.30524838,2020,Summer
PM2.5,ALL,ALL,7.567427221,2020,Summer
BC,ALL,ALL,0.795564732,2020,Fall
NO,ALL,ALL,16.86593071,2020,Fall
NO2,ALL,ALL,19.46158857,2020,Fall
PM2.5,ALL,ALL,6.471773737,2020,Fall
PM2.5,Low,Boiler PM2.5 Emissions,6.131540129,2020,ALL
PM2.5,Medium,Boiler PM2.5 Emissions,6.455776697,2020,ALL
PM2.5,High,Boiler PM2.5 Emissions,7.436618397,2020,ALL
PM2.5,Low,Commercial Cooking,6.424197777,2020,ALL
PM2.5,Medium,Commercial Cooking,6.161879774,2020,ALL
PM2.5,High,Commercial Cooking,7.424741772,2020,ALL
PM2.5,Low,Traffic Density,6.226107209,2020,ALL
PM2.5,Medium,Traffic Density,6.211468249,2020,ALL
PM2.5,High,Traffic Density,7.587091713,2020,ALL
NO2,Low,Building Density,15.29372058,2020,ALL
NO2,Medium,Building Density,17.52638051,2020,ALL
NO2,High,Building Density,20.95562516,2020,ALL
NO2,Low,Traffic NOx Emissions,16.1998511,2020,ALL
NO2,Medium,Traffic NOx Emissions,16.07344782,2020,ALL
NO2,High,Traffic NOx Emissions,21.36505641,2020,ALL
O3,Low,Traffic Density,31.25294636,2020,ALL
O3,Medium,Traffic Density,30.85369542,2020,ALL
O3,High,Traffic Density,29.16061903,2020,ALL
NO,Low,Boiler Density,12.70130756,2020,ALL
NO,Medium,Boiler Density,15.40198176,2020,ALL
NO,High,Boiler Density,19.14728175,2020,ALL
NO,Low,Traffic NOx Emissions,13.64334179,2020,ALL
NO,Medium,Traffic NOx Emissions,12.09043039,2020,ALL
NO,High,Traffic NOx Emissions,21.73086478,2020,ALL
BC,Low,Industrial Areas,0.647022187,2020,ALL
BC,Medium,Industrial Areas,0.709489248,2020,ALL
BC,High,Industrial Areas,0.868723967,2020,ALL
BC,Low,Commercial Cooking,0.734261457,2020,ALL
BC,Medium,Commercial Cooking,0.634769939,2020,ALL
BC,High,Commercial Cooking,0.844650908,2020,ALL
BC,Low,Traffic Density,0.638997718,2020,ALL
BC,Medium,Traffic Density,0.649302538,2020,ALL
